Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Micah Parsons LB - DAL,Micah Parsons,LB,DAL,NYJ,Magic Eulers,4.0,,2.0,3.0,,1.0,1.0,,,,,,,1.0,4.0,,47.0
Danielle Hunter LB - MIN,Danielle Hunter,LB,MIN,@PHI,St Quintin Heidschnucken,5.0,3.0,3.0,3.0,,,,,,,,,,,3.0,,46.5
Frankie Luvu LB - CAR Q,Frankie Luvu,LB,CAR,NO,Bad Wildcats Hunschat,4.0,5.0,2.0,3.0,,,,,,,,,,,2.0,,38.5
Alex Highsmith LB - PIT,Alex Highsmith,LB,PIT,CLE,St Quintin Heidschnucken,5.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,2.0,30.0,37.0
Joe Tryon-Shoyinka LB - TB,Joe,Tryon,Shoyinka,CHI,FA,4.0,,2.0,2.0,,,,,,,,,,,3.0,,36.0
Jonathon Cooper LB - DEN,Jonathon Cooper,LB,DEN,WAS,FA,3.0,5.0,2.0,1.0,,1.0,,,,,,,,,1.0,,34.5
Joey Bosa LB - LAC Q View News,Joey Bosa,LB,LAC,@TEN,GLADIATORS of NORSCHT,3.0,1.0,2.0,2.0,,,,,,,,,,,2.0,,33.5
Robert Spillane LB - LV,Robert Spillane,LB,LV,@BUF,Slay,8.0,6.0,1.0,1.0,,,,,,,,,,,1.0,,31.0
Fred Warner LB - SF,Fred Warner,LB,SF,@LA,dirty birds,9.0,2.0,1.0,1.0,,,,,,,,,,1.0,1.0,,31.0
T.J. Watt LB - PIT,T.J. Watt,LB,PIT,CLE,Magic Eulers,2.0,2.0,1.0,2.0,,,1.0,,1.0,,,,,1.0,4.0,,31.0
Quay Walker LB - GB,Quay Walker,LB,GB,@ATL,Slay,8.0,9.0,,,,,,,,,,,,1.0,1.0,,25.5
Bradley Chubb LB - MIA,Bradley Chubb,LB,MIA,@NE,Bad Wildcats Hunschat,5.0,2.0,1.0,2.0,,1.0,,,,,,,,,2.0,,23.0
Zaire Franklin LB - IND,Zaire Franklin,LB,IND,@HOU,Koblenz 87ers,8.0,5.0,,1.0,,,,,,,,,,,,,22.5
Tremaine Edmunds LB - CHI,Tremaine Edmunds,LB,CHI,@TB,FlyRamsFly,8.0,7.0,,,,,,,,,,,,,,,21.5
Shaquil Barrett LB - TB,Shaquil Barrett,LB,TB,CHI,St Quintin Heidschnucken,2.0,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,4.0,20.8
De'Vondre Campbell LB - GB IA,De'Vondre Campbell,LB,GB,@ATL,W (Oct 4),7.0,7.0,,,,,,,,,,,,,,,20.5
Kenneth Murray LB - LAC View News,Kenneth Murray,LB,LAC,@TEN,FA,5.0,5.0,1.0,2.0,,,,,,,,,,,1.0,,19.5
Andrew Van Ginkel LB - MIA View News,Andrew Van Ginkel,LB,MIA,@NE,FA,2.0,4.0,1.0,1.0,,,,,,,,,,1.0,3.0,,19.0
David Long LB - MIA,David Long,LB,MIA,@NE,FA,5.0,3.0,1.0,1.0,,,,,,,,,,,2.0,,18.5
Divine Deablo LB - LV,Divine Deablo,LB,LV,@BUF,Bad Wildcats Hunschat,6.0,4.0,1.0,1.0,,,,,,,,,,,1.0,,18.0
Matt Judon LB - NE,Matt Judon,LB,NE,MIA,Alta Villa Cardinals,4.0,,1.0,2.0,,,,,,,,,,,2.0,,18.0
Jadeveon Clowney LB - BAL,Jadeveon Clowney,LB,BAL,@CIN,FA,3.0,1.0,1.0,1.0,,,,,,,,,,1.0,2.0,,16.5
Alex Anzalone LB - DET,Alex Anzalone,LB,DET,SEA,Slay,5.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,16.0
Nik Bonitto LB - DEN,Nik Bonitto,LB,DEN,WAS,FA,2.0,,1.0,2.0,,,,,,,,,,,2.0,,16.0
Kaden Elliss LB - ATL,Kaden Elliss,LB,ATL,GB,Slay,6.0,,1.0,1.0,,,,,,,,,,,1.0,,16.0
Kyzir White LB - ARI,Kyzir White,LB,ARI,NYG,Alta Villa Cardinals,5.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,16.0
