Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Bryan Cook DB - KC,Bryan Cook,DB,KC,DET,FA,4.0,3.0,,,,,1.0,,,,,,,,,,8.5
Jabrill Peppers DB - NE,Jabrill Peppers,DB,NE,PHI,FA,3.0,3.0,,,,1.0,,,,,,,,1.0,,,8.5
L'Jarius Sneed DB - KC,L'Jarius Sneed,DB,KC,DET,FlyRamsFly,3.0,3.0,,1.0,,,,,,,,,,,1.0,,8.5
Charvarius Ward DB - SF,Charvarius Ward,DB,SF,@PIT,Boppard Raiders,2.0,1.0,,,1.0,,,,,,,,,1.0,,9.0,8.3
Elijah Molden DB - TEN O View News,Elijah Molden,DB,TEN,@NO,FA,6.0,2.0,,,,,,,,,,,,1.0,,,8.0
Sean Murphy-Bunting DB - TEN,Sean,Murphy,Bunting,@NO,GLADIATORS of NORSCHT,4.0,2.0,,,,1.0,,,,,,,,,,,8.0
Camryn Bynum DB - MIN,Camryn Bynum,DB,MIN,TB,Washington Fantasy Team,5.0,5.0,,,,,,,,,,,,,,,7.5
Michael Davis DB - LAC,Michael Davis,DB,LAC,MIA,FA,5.0,1.0,,,,,,,,,,,,2.0,,,7.5
Nick Scott DB - CIN,Nick Scott,DB,CIN,@CLE,FA,4.0,7.0,,,,,,,,,,,,,,,7.5
Tyrique Stevenson DB - CHI,Tyrique Stevenson,DB,CHI,GB,FA,5.0,1.0,,1.0,,,,,,,,,,,,,7.5
C.J. Gardner-Johnson DB - DET,C.J.,Gardner,Johnson,@KC,W (Oct 4),5.0,,,,,,,,,,,,,2.0,,,7.0
Rayshawn Jenkins DB - JAX,Rayshawn Jenkins,DB,JAX,@IND,Slay,5.0,,,1.0,,,,,,,,,,,,,7.0
Josh Metellus DB - MIN View News,Josh Metellus,DB,MIN,TB,FA,6.0,,,,,,,,,,,,,1.0,,,7.0
Justin Reid DB - KC,Justin Reid,DB,KC,DET,FA,4.0,2.0,,,,,,,,,,,,2.0,,,7.0
K'Von Wallace DB - ARI,K'Von Wallace,DB,ARI,@WAS,Alta Villa Cardinals,3.0,4.0,,,,,,,,,,,,2.0,,,7.0
Kevin Byard DB - TEN,Kevin Byard,DB,TEN,@NO,FlyRamsFly,5.0,3.0,,,,,,,,,,,,,,,6.5
Xavien Howard DB - MIA,Xavien Howard,DB,MIA,@LAC,FA,5.0,1.0,,,,,,,,,,,,1.0,,,6.5
M.J. Stewart DB - HOU,M.J. Stewart,DB,HOU,@BAL,FA,2.0,3.0,,,,,1.0,,,,,,,,,,6.5
Marco Wilson DB - ARI,Marco Wilson,DB,ARI,@WAS,FA,5.0,1.0,,,,,,,,,,,,1.0,,,6.5
Paulson Adebo DB - NO O View News,Paulson Adebo,DB,NO,TEN,FA,2.0,,,,1.0,,,,,,,,,1.0,,,6.0
Chidobe Awuzie DB - CIN,Chidobe Awuzie,DB,CIN,@CLE,FA,3.0,,,,,,1.0,,,,,,,,,,6.0
Jaquan Brisker DB - CHI,Jaquan Brisker,DB,CHI,GB,Magic Eulers,3.0,4.0,,,,,,,,,,,,1.0,,,6.0
Carlton Davis DB - TB Q View News,Carlton Davis,DB,TB,@MIN,FA,4.0,2.0,,,,,,,,,,,,1.0,,,6.0
Akayleb Evans DB - MIN,Akayleb Evans,DB,MIN,TB,FA,4.0,,,,,,,,,,,,,2.0,,,6.0
Emmanuel Forbes DB - WAS,Emmanuel Forbes,DB,WAS,ARI,FA,3.0,,,1.0,,,,,,,,,,1.0,,,6.0
Richie Grant DB - ATL,Richie Grant,DB,ATL,CAR,dirty birds,3.0,4.0,,,,,,,,,,,,1.0,,,6.0
Tre Hawkins III DB - NYG,Tre Hawkins III,DB,NYG,DAL,FA,5.0,2.0,,,,,,,,,,,,,,,6.0
Noah Igbinoghene DB - DAL,Noah Igbinoghene,DB,DAL,@NYG,FA,,,,,,,,,,1.0,,,,,,,6.0
Tre Brown DB - SEA Q,Tre Brown,DB,SEA,LA,FA,5.0,1.0,,,,,,,,,,,,,,,5.5
Marcus Epps DB - LV,Marcus Epps,DB,LV,@DEN,Bad Wildcats Hunschat,2.0,3.0,,1.0,,,,,,,,,,,,,5.5
Justin Evans DB - PHI Q View News,Justin Evans,DB,PHI,@NE,FA,4.0,3.0,,,,,,,,,,,,,,,5.5
Jordan Fuller DB - LA,Jordan Fuller,DB,LA,@SEA,Washington Fantasy Team,3.0,5.0,,,,,,,,,,,,,,,5.5
Tre'von Moehrig DB - LV,Tre'von Moehrig,DB,LV,@DEN,FA,5.0,1.0,,,,,,,,,,,,,,,5.5
Ryan Neal DB - TB,Ryan Neal,DB,TB,@MIN,Magic Eulers,5.0,1.0,,,,,,,,,,,,,,,5.5
Steven Nelson DB - HOU,Steven Nelson,DB,HOU,@BAL,FA,1.0,1.0,,,1.0,,,,,,,,,1.0,,,5.5
A.J. Terrell DB - ATL,A.J. Terrell,DB,ATL,CAR,FA,3.0,1.0,,1.0,,,,,,,,,,,,,5.5
Ambry Thomas DB - SF View News,Ambry Thomas,DB,SF,@PIT,FA,4.0,1.0,,,,,,,,,,,,1.0,,,5.5
Dee Alford DB - ATL,Dee Alford,DB,ATL,CAR,Wbn Beasts,4.0,2.0,,,,,,,,,,,,,,,5.0
Christian Benford DB - BUF,Christian Benford,DB,BUF,@NYJ,FA,4.0,,,,,,,,,,,,,1.0,,,5.0
Jeremy Chinn DB - CAR,Jeremy Chinn,DB,CAR,@ATL,FA,3.0,4.0,,,,,,,,,,,,,,,5.0
Eddie Jackson DB - CHI O View News,Eddie Jackson,DB,CHI,GB,Bad Wildcats Hunschat,2.0,2.0,,,,,,,,,,,,2.0,,,5.0
Jerry Jacobs DB - DET View News,Jerry Jacobs,DB,DET,@KC,W (Oct 4),5.0,,,,,,,,,,,,,,,,5.0
Josh Jobe DB - PHI,Josh Jobe,DB,PHI,@NE,FA,1.0,,,,,1.0,,,,,,,,1.0,,,5.0
Damarri Mathis DB - DEN,Damarri Mathis,DB,DEN,LV,FA,5.0,,,,,,,,,,,,,,,,5.0
Dallis Flowers DB - IND,Dallis Flowers,DB,IND,JAX,FA,3.0,2.0,,,,,,,,,,,,,,,4.95
Tony Adams DB - NYJ O View News,Tony Adams,DB,NYJ,BUF,FA,4.0,1.0,,,,,,,,,,,,,,,4.5
James Bradberry DB - PHI,James Bradberry,DB,PHI,@NE,FA,2.0,3.0,,,,,,,,,,,,1.0,,,4.5
Kendall Fuller DB - WAS,Kendall Fuller,DB,WAS,ARI,FA,3.0,3.0,,,,,,,,,,,,,,,4.5
Micah Hyde DB - BUF,Micah Hyde,DB,BUF,@NYJ,FA,4.0,1.0,,,,,,,,,,,,,,,4.5
Jayron Kearse DB - DAL,Jayron Kearse,DB,DAL,@NYG,Koblenz 87ers,2.0,5.0,,,,,,,,,,,,,,,4.5
Xavier McKinney DB - NYG,Xavier McKinney,DB,NYG,DAL,FA,1.0,3.0,,,,,,,,,,,,2.0,,,4.5
Juanyeh Thomas DB - DAL,Juanyeh Thomas,DB,DAL,@NYG,FA,1.0,1.0,,,,,,,,,,,1.0,1.0,,,4.5
Denzel Ward DB - CLE,Denzel Ward,DB,CLE,CIN,Bad Wildcats Hunschat,3.0,1.0,,,,,,,,,,,,1.0,,,4.5
Tre'Davious White DB - BUF,Tre'Davious White,DB,BUF,@NYJ,FA,2.0,1.0,,1.0,,,,,,,,,,,,,4.5
Marcus Williams DB - BAL Q View News,Marcus Williams,DB,BAL,HOU,FA,3.0,1.0,,,,,,,,,,,,1.0,,,4.5
Jaire Alexander DB - GB IA,Jaire Alexander,DB,GB,@CHI,GLADIATORS of NORSCHT,3.0,,,,,,,,,,,,,1.0,,,4.0
Budda Baker DB - ARI IR,Budda Baker,DB,ARI,@WAS,FA,3.0,2.0,,,,,,,,,,,,,,,4.0
Julian Blackmon DB - IND,Julian Blackmon,DB,IND,JAX,FA,3.0,2.0,,,,,,,,,,,,,,,4.0
