Player,Name,Position,Team,Opp,Manager,PAT_Made,PAT_Miss,FG Made_0-19,FG Made_20-29,FG Made_30-39,FG Made_40-49,FG Made_50+,FG Miss_0-19,FG Miss_20-29,FG Miss_30-39,FG Miss_40-49,Fantasy_Points
Matt Gay K - IND,Matt Gay,K,IND,@BAL,FA,1.0,,,,1.0,,4.0,,,,,25.0
Evan McPherson K - CIN,Evan McPherson,K,CIN,LA,St Quintin Heidschnucken,1.0,,,,,2.0,2.0,,,,,20.0
Jason Myers K - SEA,Jason Myers,K,SEA,CAR,Slay,2.0,,,,4.0,1.0,,,,,,20.0
Jason Sanders K - MIA,Jason Sanders,K,MIA,DEN,dirty birds,10.0,,,,,,,,,,,20.0
Tyler Bass K - BUF,Tyler Bass,K,BUF,@WAS,Washington Fantasy Team,4.0,,,,2.0,,1.0,,,,,19.0
Chris Boswell K - PIT,Chris Boswell,K,PIT,@LV,FA,2.0,,,,,2.0,1.0,,,,,17.0
Harrison Butker K - KC,Harrison Butker,K,KC,CHI,Boppard Raiders,5.0,,,,1.0,1.0,,,,,,17.0
Ka'imi Fairbairn K - HOU,Ka'imi Fairbairn,K,HOU,@JAX,FA,4.0,,,2.0,1.0,,,,,,,15.0
Dustin Hopkins K - CLE,Dustin Hopkins,K,CLE,TEN,FA,3.0,,,,,1.0,1.0,,,,,15.0
Eddy Pineiro K - CAR,Eddy Pineiro,K,CAR,@SEA,Slay,3.0,,,,,2.0,,,,,,14.0
Matt Prater K - ARI,Matt Prater,K,ARI,DAL,Alta Villa Cardinals,1.0,,,,1.0,1.0,1.0,,,,,14.0
Jake Moody K - SF,Jake Moody,K,SF,NYG,Magic Eulers,3.0,,,2.0,1.0,,,,,,,13.0
Jake Elliott K - PHI,Jake Elliott,K,PHI,@TB,FA,2.0,,,1.0,2.0,,,,,,,12.0
Brett Maher K - LA,Brett Maher,K,LA,@CIN,FlyRamsFly,1.0,,,1.0,1.0,1.0,,,,,,11.0
Brandon Aubrey K - DAL,Brandon Aubrey,K,DAL,@ARI,FA,1.0,,,2.0,,1.0,,,,,,10.0
Chad Ryland K - NE,Chad Ryland,K,NE,@NYJ,FA,1.0,,,,,1.0,1.0,,,,1.0,10.0
Graham Gano K - NYG,Graham Gano,K,NYG,@SF,Bad Wildcats Hunschat,,,,,,1.0,1.0,,,,,9.0
Wil Lutz K - DEN,Wil Lutz,K,DEN,@MIA,FA,2.0,,,1.0,1.0,,,,,,,9.0
Riley Patterson K - DET View News,Riley Patterson,K,DET,ATL,Koblenz 87ers,2.0,,,1.0,1.0,,,,,,,9.0
Justin Tucker K - BAL,Justin Tucker,K,BAL,IND,dirty birds,2.0,,,,,,1.0,,,,,9.0
Cameron Dicker K - LAC,Cameron Dicker,K,LAC,@MIN,FA,4.0,,,,,,,,,,,8.0
Greg Joseph K - MIN,Greg Joseph,K,MIN,LAC,Wbn Beasts,3.0,,,1.0,,,,,,,,8.0
Greg Zuerlein K - NYJ,Greg Zuerlein,K,NYJ,NE,GLADIATORS of NORSCHT,1.0,,,,,,1.0,,,,,7.0
Brandon McManus K - JAX,Brandon McManus,K,JAX,HOU,FA,2.0,,,,1.0,,,,,,1.0,6.0
Anders Carlson K - GB View News,Anders Carlson,K,GB,NO,W (Oct 4),1.0,,,,1.0,,,,,,,5.0
Younghoe Koo K - ATL,Younghoe Koo,K,ATL,@DET,FA,,,,1.0,,1.0,,,,,1.0,5.0
Joey Slye K - WAS,Joey Slye,K,WAS,BUF,FA,,,,,,,1.0,,,,,5.0
Daniel Carlson K - LV,Daniel Carlson,K,LV,PIT,Wbn Beasts,1.0,,,1.0,,,,,,,,4.0
Nick Folk K - TEN,Nick Folk,K,TEN,@CLE,FA,,,,,,1.0,,,,,,4.0
Cairo Santos K - CHI,Cairo Santos,K,CHI,@KC,FA,1.0,,,1.0,,,,,,,,4.0
Chase McLaughlin K - TB,Chase McLaughlin,K,TB,PHI,FA,,,,,1.0,,,,,,,3.0
Mike Badgley K - DET,Mike Badgley,K,DET,ATL,W (Oct 4),,,,,,,,,,,,0.0
Rodrigo Blankenship K,Rodrigo Blankenship,K,,Bye,FA,,,,,,,,,,,,0.0
Tanner Brown K,Tanner Brown,K,,Bye,FA,,,,,,,,,,,,0.0
Randy Bullock K,Randy Bullock,K,,Bye,FA,,,,,,,,,,,,0.0
Mason Crosby K,Mason Crosby,K,,Bye,FA,,,,,,,,,,,,0.0
Christopher Dunn K,Christopher Dunn,K,,Bye,FA,,,,,,,,,,,,0.0
Elliott Fry K,Elliott Fry,K,,Bye,FA,,,,,,,,,,,,0.0
Zane Gonzalez K Q,Zane Gonzalez K,Q,,Bye,FA,,,,,,,,,,,,0.0
Robbie Gould K,Robbie Gould,K,,Bye,FA,,,,,,,,,,,,0.0
Stephen Hauschka K,Stephen Hauschka,K,,Bye,FA,,,,,,,,,,,,0.0
Lucas Havrisik K - CLE,Lucas Havrisik,K,CLE,TEN,FA,,,,,,,,,,,,0.0
