Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Keenan Allen WR - LAC,Keenan Allen,WR,LAC,@MIN,FlyRamsFly,1.0,49.0,1.0,,,,18.0,215.0,,,,,,,1.0,76.4
Tyreek Hill WR - MIA,Tyreek Hill,WR,MIA,DEN,Slay,,,,,,,9.0,157.0,1.0,,,,,,,55.7
Justin Jefferson WR - MIN,Justin Jefferson,WR,MIN,LAC,Alta Villa Cardinals,,,,,,,7.0,149.0,1.0,,,,,,,52.9
Davante Adams WR - LV,Davante Adams,WR,LV,PIT,GLADIATORS of NORSCHT,,,,,,,13.0,172.0,2.0,,,,,,,52.2
Tank Dell WR - HOU,Tank Dell,WR,HOU,@JAX,Magic Eulers,,,,,,,5.0,145.0,1.0,,,,,,,50.5
Adam Thielen WR - CAR,Adam Thielen,WR,CAR,@SEA,Magic Eulers,,,,,,,11.0,145.0,1.0,,,,,,,41.5
Mike Williams WR - LAC IR,Mike Williams,WR,LAC,@MIN,Slay,,,,,,,7.0,121.0,1.0,,,,,,,40.1
Amari Cooper WR - CLE,Amari Cooper,WR,CLE,TEN,Wbn Beasts,,,,,,,7.0,116.0,1.0,,,,,,,39.6
Ja'Marr Chase WR - CIN,Ja'Marr Chase,WR,CIN,LA,Magic Eulers,,,,,,,12.0,141.0,,,,,,,,36.1
Deebo Samuel WR - SF Q View News,Deebo Samuel,WR,SF,NYG,FlyRamsFly,,,,,2.0,,6.0,129.0,1.0,,,,,,,35.3
A.J. Brown WR - PHI,A.J. Brown,WR,PHI,@TB,Koblenz 87ers,,,,,,,9.0,131.0,,,,,,,,32.1
Amon-Ra St. Brown WR - DET,Amon,,Ra,ATL,Washington Fantasy Team,,,,,4.0,,9.0,102.0,,,,,,,,31.0
Calvin Austin III WR - PIT,Calvin Austin III,WR,PIT,@LV,FA,,,,,,,2.0,72.0,1.0,5.0,,,,,,30.45
Stefon Diggs WR - BUF,Stefon Diggs,WR,BUF,@WAS,GLADIATORS of NORSCHT,,,,,,,8.0,111.0,,,,,,,,29.1
Chris Olave WR - NO,Chris Olave,WR,NO,@GB,Boppard Raiders,,,,,,,8.0,104.0,,,,,,,,28.4
DK Metcalf WR - SEA View News,DK Metcalf,WR,SEA,CAR,dirty birds,,,,,,,6.0,112.0,,,,,,,,28.2
Rondale Moore WR - ARI,Rondale Moore,WR,ARI,DAL,FA,,,,,54.0,1.0,4.0,8.0,,,,,,,,26.6
DJ Chark WR - CAR,DJ Chark,WR,CAR,@SEA,FA,,,,,,,4.0,86.0,1.0,,,,,,,23.6
Marvin Mims Jr. WR - DEN,Marvin Mims Jr.,WR,DEN,@MIA,FA,,,,,3.0,,3.0,73.0,,121.0,1.0,,,,,22.95
Michael Pittman WR - IND,Michael Pittman,WR,IND,@BAL,Boppard Raiders,,,,,,,9.0,77.0,,,,,,,,19.7
Tutu Atwell WR - LA,Tutu Atwell,WR,LA,@CIN,Magic Eulers,,,,,22.0,,4.0,50.0,1.0,,,,,,,19.4
Romeo Doubs WR - GB,Romeo Doubs,WR,GB,NO,W (Oct 4),,,,,,,5.0,73.0,1.0,,,,,,,19.3
Marquise Brown WR - ARI Q View News,Marquise Brown,WR,ARI,DAL,FlyRamsFly,,,,,,,5.0,61.0,1.0,,,,,,,17.1
Mike Evans WR - TB,Mike Evans,WR,TB,PHI,GLADIATORS of NORSCHT,,,,,,,5.0,60.0,1.0,,,,,,,17.0
Jakobi Meyers WR - LV,Jakobi Meyers,WR,LV,PIT,Washington Fantasy Team,,,,,,,7.0,85.0,,,,,,,,15.5
Michael Gallup WR - DAL,Michael Gallup,WR,DAL,@ARI,FA,,,,,,,6.0,92.0,,,,,,,,15.2
Olamide Zaccheaus WR - PHI,Olamide Zaccheaus,WR,PHI,@TB,FA,,,,,,,2.0,58.0,1.0,,,,,,,13.8
Josh Downs WR - IND,Josh Downs,WR,IND,@BAL,FA,,,,,,,8.0,57.0,,,,,,,,13.7
Zay Flowers WR - BAL,Zay Flowers,WR,BAL,IND,Wbn Beasts,,,,,2.0,,8.0,48.0,,,,,,,,13.2
DJ Moore WR - CHI,DJ Moore,WR,CHI,@KC,Bad Wildcats Hunschat,,,,,,,3.0,41.0,1.0,,,,,,,13.1
Rashee Rice WR - KC,Rashee Rice,WR,KC,CHI,FA,,,,,,,5.0,59.0,,,,,,,,12.9
Jordan Addison WR - MIN,Jordan Addison,WR,MIN,LAC,Slay,,,,,,,6.0,52.0,,,,,,,,12.2
Puka Nacua WR - LA,Puka Nacua,WR,LA,@CIN,St Quintin Heidschnucken,,,,,,,5.0,72.0,,,,,,,,12.2
George Pickens WR - PIT,George Pickens,WR,PIT,@LV,Bad Wildcats Hunschat,,,,,,,4.0,75.0,,,,,,,,11.5
Ronnie Bell WR - SF,Ronnie Bell,WR,SF,NYG,FA,,,,,,,2.0,24.0,1.0,,,,,,,11.4
