Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
D'Andre Swift RB - PHI,D'Andre Swift,RB,PHI,MIN,FlyRamsFly,,,,,175.0,1.0,3.0,6.0,,,,,,,,54.6
Raheem Mostert RB - MIA,Raheem Mostert,RB,MIA,@NE,Koblenz 87ers,,,,,121.0,2.0,1.0,6.0,,,,,,,,52.8
Jerome Ford RB - CLE,Jerome Ford,RB,CLE,@PIT,Washington Fantasy Team,,,,,106.0,,3.0,25.0,1.0,,,,1.0,,,45.7
Christian McCaffrey RB - SF,Christian McCaffrey,RB,SF,@LA,St Quintin Heidschnucken,,,,,116.0,1.0,3.0,19.0,,,,,,,,44.1
Bijan Robinson RB - ATL,Bijan Robinson,RB,ATL,GB,Wbn Beasts,,,,,124.0,,4.0,48.0,,,,,,,,43.6
James Cook RB - BUF,James Cook,RB,BUF,LV,Magic Eulers,,,,,123.0,,4.0,36.0,,,,,,,,42.2
Brian Robinson RB - WAS,Brian Robinson,RB,WAS,@DEN,Bad Wildcats Hunschat,,,,,87.0,2.0,2.0,42.0,,,,,1.0,,,38.6
James Conner RB - ARI,James Conner,RB,ARI,NYG,Bad Wildcats Hunschat,,,,,106.0,1.0,,,,,,,,,,37.2
Kyren Williams RB - LA,Kyren Williams,RB,LA,SF,Washington Fantasy Team,,,,,52.0,1.0,6.0,48.0,1.0,11.0,,,,,,34.75
Saquon Barkley RB - NYG Q View News,Saquon Barkley,RB,NYG,@ARI,Washington Fantasy Team,,,,,63.0,1.0,6.0,29.0,1.0,,,,,,,33.5
Zack Moss RB - IND,Zack Moss,RB,IND,@HOU,Alta Villa Cardinals,,,,,88.0,1.0,4.0,19.0,,,,,,,,29.5
Rachaad White RB - TB,Rachaad White,RB,TB,CHI,Magic Eulers,,,,,73.0,1.0,5.0,30.0,,,,,,,,28.6
Tony Pollard RB - DAL,Tony Pollard,RB,DAL,NYJ,Koblenz 87ers,,,,,72.0,,7.0,37.0,,,,,1.0,,,28.1
Derrick Henry RB - TEN,Derrick Henry,RB,TEN,LAC,dirty birds,,,,,80.0,1.0,3.0,15.0,,,,,,,,26.5
Kenneth Walker III RB - SEA,Kenneth Walker III,RB,SEA,@DET,St Quintin Heidschnucken,,,,,43.0,2.0,1.0,11.0,,,,,,,,22.7
Rhamondre Stevenson RB - NE,Rhamondre Stevenson,RB,NE,MIA,FlyRamsFly,,,,,50.0,1.0,3.0,10.0,,,,,,,,20.0
Tony Jones RB - NO,Tony Jones,RB,NO,@CAR,FA,,,,,34.0,2.0,,,,,,,,,,19.8
Joe Mixon RB - CIN,Joe Mixon,RB,CIN,BAL,Washington Fantasy Team,,,,,59.0,,4.0,36.0,,,,,,,,19.4
Gus Edwards RB - BAL,Gus Edwards,RB,BAL,@CIN,FA,,,,,62.0,1.0,,,,,,,,,,18.4
Isiah Pacheco RB - KC,Isiah Pacheco,RB,KC,@JAX,Koblenz 87ers,,,,,70.0,,1.0,,,,,,,,,15.0
Damien Harris RB - BUF,Damien Harris,RB,BUF,LV,FA,,,,,33.0,1.0,,,,41.0,,,,,,14.65
Jaylen Warren RB - PIT,Jaylen Warren,RB,PIT,CLE,St Quintin Heidschnucken,,,,,20.0,,4.0,66.0,,,,,,,,14.6
Jahmyr Gibbs RB - DET View News,Jahmyr Gibbs,RB,DET,SEA,Alta Villa Cardinals,,,,,17.0,,7.0,39.0,,,,,,,,14.3
Latavius Murray RB - BUF,Latavius Murray,RB,BUF,LV,FA,,,,,22.0,1.0,2.0,9.0,,,,,,,,13.3
Nick Chubb RB - CLE IR,Nick Chubb,RB,CLE,@PIT,FA,,,,,64.0,,,,,,,,,,,12.8
Justice Hill RB - BAL Q View News,Justice Hill,RB,BAL,@CIN,FA,,,,,41.0,,3.0,12.0,,,,,,,,12.4
Tyjae Spears RB - TEN,Tyjae Spears,RB,TEN,LAC,Slay,,,,,49.0,,2.0,6.0,,,,,,,,12.4
Javonte Williams RB - DEN,Javonte Williams,RB,DEN,WAS,St Quintin Heidschnucken,,,,,44.0,,2.0,14.0,,,,,,,,12.2
David Montgomery RB - DET,David Montgomery,RB,DET,SEA,Washington Fantasy Team,,,,,67.0,1.0,1.0,7.0,,,,,,1.0,1.0,12.1
Miles Sanders RB - CAR Q View News,Miles Sanders,RB,CAR,NO,Slay,,,,,43.0,,3.0,4.0,,,,,,,,12.0
Chuba Hubbard RB - CAR,Chuba Hubbard,RB,CAR,NO,Slay,,,,,16.0,,5.0,34.0,,,,,,,,11.6
Josh Jacobs RB - LV,Josh Jacobs,RB,LV,@BUF,Bad Wildcats Hunschat,,,,,-2.0,,5.0,51.0,,,,,,,,10.7
Roschon Johnson RB - CHI,Roschon Johnson,RB,CHI,@TB,Alta Villa Cardinals,,,,,32.0,,2.0,10.0,,,,,,,,10.4
Khalil Herbert RB - CHI,Khalil Herbert,RB,CHI,@TB,Wbn Beasts,,,,,35.0,,1.0,23.0,,,,,,,,10.3
Travis Etienne RB - JAX,Travis Etienne,RB,JAX,KC,dirty birds,,,,,40.0,,2.0,2.0,,,,,,,,10.2
Tyler Allgeier RB - ATL,Tyler Allgeier,RB,ATL,GB,FlyRamsFly,,,,,48.0,,,,,,,,,,,9.6
Najee Harris RB - PIT,Najee Harris,RB,PIT,CLE,Alta Villa Cardinals,,,,,43.0,,1.0,,,,,,,,,9.6
Antonio Gibson RB - WAS,Antonio Gibson,RB,WAS,@DEN,FA,,,,,9.0,,3.0,44.0,,,,,,,,9.2
Dameon Pierce RB - HOU,Dameon Pierce,RB,HOU,IND,Boppard Raiders,,,,,31.0,,2.0,4.0,,,,,,,,8.6
Salvon Ahmed RB - MIA Q View News,Salvon Ahmed,RB,MIA,@NE,FA,,,,,13.0,,3.0,28.0,,,,,,,,8.4
Boston Scott RB - PHI View News,Boston Scott,RB,PHI,MIN,FA,,,,,40.0,,,,,,,,,,,8.0
Rico Dowdle RB - DAL,Rico Dowdle,RB,DAL,NYJ,FA,,,,,26.0,,1.0,17.0,,,,,,,,7.9
Joshua Kelley RB - LAC View News,Joshua Kelley,RB,LAC,@TEN,Magic Eulers,,,,,39.0,,,,,,,,,,,7.8
Deuce Vaughn RB - DAL,Deuce Vaughn,RB,DAL,NYJ,FA,,,,,16.0,,3.0,16.0,,,,,,,,7.8
Pierre Strong RB - CLE,Pierre Strong,RB,CLE,@PIT,FA,,,,,1.0,1.0,,,,,,,,,,7.2
Jaleel McLaughlin RB - DEN,Jaleel McLaughlin,RB,DEN,WAS,FA,,,,,5.0,1.0,,,,,,,,,,7.0
Devin Singletary RB - HOU,Devin Singletary,RB,HOU,IND,GLADIATORS of NORSCHT,,,,,14.0,,1.0,10.0,,37.0,,,,,,6.65
Zach Charbonnet RB - SEA,Zach Charbonnet,RB,SEA,@DET,Boppard Raiders,,,,,16.0,,2.0,14.0,,,,,,,,6.6
Samaje Perine RB - DEN,Samaje Perine,RB,DEN,WAS,FA,,,,,4.0,,3.0,20.0,,,,,,,,5.8
Jamaal Williams RB - NO IR,Jamaal Williams,RB,NO,@CAR,dirty birds,,,,,29.0,,,,,,,,,,,5.8
Elijah Dotson RB - LAC,Elijah Dotson,RB,LAC,@TEN,FA,,,,,6.0,,2.0,13.0,,,,,,,,4.5
DeeJay Dallas RB - SEA,DeeJay Dallas,RB,SEA,@DET,FA,,,,,3.0,,,,,67.0,,,,,,3.95
Michael Carter RB - NYJ,Michael Carter,RB,NYJ,@DAL,FA,,,,,8.0,,1.0,3.0,,,,,,,,3.9
Clyde Edwards-Helaire RB - KC,Clyde,Edwards,Helaire,@JAX,FlyRamsFly,,,,,,,2.0,17.0,,,,,,,,3.7
D'Ernest Johnson RB - JAX,D'Ernest Johnson,RB,JAX,KC,FA,,,,,8.0,,1.0,9.0,,,,,,,,3.5
Rashaad Penny RB - PHI,Rashaad Penny,RB,PHI,MIN,FA,,,,,9.0,,1.0,5.0,,,,,,,,3.3
Ty Chandler RB - MIN,Ty Chandler,RB,MIN,@PHI,FA,,,,,,,2.0,9.0,,,,,,,,2.9
Ezekiel Elliott RB - NE,Ezekiel Elliott,RB,NE,MIA,GLADIATORS of NORSCHT,,,,,13.0,,,,,,,,,,,2.6
Ameer Abdullah RB - LV,Ameer Abdullah,RB,LV,@BUF,FA,,,,,,,1.0,5.0,,,,,,,,2.5
De'Von Achane RB - MIA,De'Von Achane,RB,MIA,@NE,Boppard Raiders,,,,,5.0,,1.0,4.0,,,,,,,,2.4
Chase Edmonds RB - TB IR,Chase Edmonds,RB,TB,CHI,FA,,,,,12.0,,,,,,,,,,,2.4
Trayveon Williams RB - CIN,Trayveon Williams,RB,CIN,BAL,FA,,,,,,,2.0,4.0,,,,,,,,2.4
Emari Demercado RB - ARI,Emari Demercado,RB,ARI,NYG,FA,,,,,-2.0,,2.0,7.0,,,,,,,,2.3
Craig Reynolds RB - DET View News,Craig Reynolds,RB,DET,SEA,W (Oct 4),,,,,7.0,,1.0,-2.0,,,,,,,,2.2
Breece Hall RB - NYJ,Breece Hall,RB,NYJ,@DAL,Wbn Beasts,,,,,9.0,,,,,,,,,,,1.8
Alexander Mattison RB - MIN,Alexander Mattison,RB,MIN,@PHI,Boppard Raiders,,,,,28.0,,3.0,11.0,,,,,,1.0,1.0,1.7
Julius Chestnut RB - TEN IR,Julius Chestnut,RB,TEN,LAC,FA,,,,,,,,,,,,,,,,1.5
Ronnie Rivers RB - LA,Ronnie Rivers,RB,LA,SF,FA,,,,,,,1.0,4.0,,,,,,,,1.4
Sean Tucker RB - TB,Sean Tucker,RB,TB,CHI,FA,,,,,7.0,,,,,,,,,,,1.4
Keaontay Ingram RB - ARI Q,Keaontay Ingram,RB,ARI,NYG,FA,,,,,6.0,,,,,,,,,,,1.2
Matt Breida RB - NYG,Matt Breida,RB,NYG,@ARI,Alta Villa Cardinals,,,,,5.0,,,,,,,,,,,1.0
Gary Brightwell RB - NYG,Gary Brightwell,RB,NYG,@ARI,FA,,,,,,,,,,,,,,,,1.0
Jason Cabinda RB - DET IA,Jason Cabinda,RB,DET,SEA,W (Oct 4),,,,,,,,,,,,,,,,1.0
Keith Smith RB - ATL,Keith Smith,RB,ATL,GB,FA,,,,,,,,,,,,,,,,1.0
Emanuel Wilson RB - GB,Emanuel Wilson,RB,GB,@ATL,W (Oct 4),,,,,5.0,,,,,,,,,,,1.0
Eric Gray RB - NYG,Eric Gray,RB,NYG,@ARI,FA,,,,,,,,,,14.0,,,,,,0.7
Michael Burton RB - DEN,Michael Burton,RB,DEN,WAS,FA,,,,,3.0,,,,,,,,,,,0.6
Isaiah Spiller RB - LAC,Isaiah Spiller,RB,LAC,@TEN,FA,,,,,3.0,,,,,,,,,,,0.6
Jordan Mason RB - SF,Jordan Mason,RB,SF,@LA,FA,,,,,,,,,,,,,,,,0.5
Chase Brown RB - CIN,Chase Brown,RB,CIN,BAL,FA,,,,,2.0,,,,,,,,,,,0.4
Patrick Taylor RB - GB,Patrick Taylor,RB,GB,@ATL,W (Oct 4),,,,,1.0,,,,,,,,,,,0.2
Israel Abanikanda RB - NYJ,Israel Abanikanda,RB,NYJ,@DAL,FA,,,,,,,,,,,,,,,,0.0
Cam Akers RB - MIN,Cam Akers,RB,MIN,@PHI,FA,,,,,,,,,,,,,,,,0.0
Darius Anderson RB Q,Darius Anderson RB,Q,,Bye,FA,,,,,,,,,,,,,,,,0.0
Alex Armah RB - WAS,Alex Armah,RB,WAS,@DEN,FA,,,,,,,,,,,,,,,,0.0
Ronald Awatt RB,Ronald Awatt,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Tyler Badie RB - DEN,Tyler Badie,RB,DEN,WAS,FA,,,,,,,,,,,,,,,,0.0
Nick Bawden RB - NYJ,Nick Bawden,RB,NYJ,@DAL,FA,,,,,,,,,,,,,,,,0.0
B.J. Baylor RB,B.J. Baylor,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Greg Bell RB - PIT,Greg Bell,RB,PIT,CLE,FA,,,,,,,,,,,,,,,,0.0
Nick Bellore RB - SEA,Nick Bellore,RB,SEA,@DET,FA,,,,,,,,,,,,,,,,0.0
