Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Cole Kmet TE - CHI,Cole Kmet,TE,CHI,DEN,Koblenz 87ers,,,,,1.0,,7.0,85.0,2.0,,,,,,,27.7
Mark Andrews TE - BAL,Mark Andrews,TE,BAL,@CLE,Slay,,,,,,,5.0,80.0,2.0,,,,,,,25.0
Jonnu Smith TE - ATL,Jonnu Smith,TE,ATL,@JAX,FA,,,,,,,6.0,95.0,,,,,,,,15.5
Jake Ferguson TE - DAL,Jake Ferguson,TE,DAL,NE,Magic Eulers,,,,,,,7.0,77.0,,,,,,,,14.7
Andrew Ogletree TE - IND,Andrew Ogletree,TE,IND,LA,FA,,,,,,,3.0,48.0,1.0,,,,,,,14.3
Dalton Schultz TE - HOU,Dalton Schultz,TE,HOU,PIT,FA,,,,,,,3.0,42.0,1.0,,,,,,,13.2
Travis Kelce TE - KC,Travis Kelce,TE,KC,@NYJ,dirty birds,,,,,,,6.0,60.0,,,,,,,,13.0
Evan Engram TE - JAX,Evan Engram,TE,JAX,ATL,Washington Fantasy Team,,,,,,,7.0,59.0,,,,,,,1.0,12.9
Noah Gray TE - KC,Noah Gray,TE,KC,@NYJ,FA,,,,,,,1.0,34.0,1.0,,,,,,,11.4
Tyler Higbee TE - LA,Tyler Higbee,TE,LA,@IND,Boppard Raiders,,,,,,,5.0,64.0,,,,,,,,11.4
Zach Ertz TE - ARI,Zach Ertz,TE,ARI,@SF,Bad Wildcats Hunschat,,,,,,,6.0,53.0,,,,,,,,11.3
David Njoku TE - CLE,David Njoku,TE,CLE,BAL,Slay,,,,,,,6.0,46.0,,,,,,,,10.6
Josh Whyle TE - TEN,Josh Whyle,TE,TEN,CIN,FA,,,,,,,2.0,26.0,1.0,,,,,,,10.6
Mo Alie-Cox TE - IND,Mo,Alie,Cox,LA,FA,,,,,,,1.0,35.0,1.0,,,,,,,10.5
Cade Otton TE - TB,Cade Otton,TE,TB,@NO,FA,,,,,,,3.0,13.0,1.0,,,,,,,10.3
Tyler Conklin TE - NYJ,Tyler Conklin,TE,NYJ,KC,FA,,,,,,,4.0,58.0,,,,,,,,9.8
Sam LaPorta TE - DET,Sam LaPorta,TE,DET,@GB,Alta Villa Cardinals,,,,,,,4.0,56.0,,,,,,,,9.6
Hunter Henry TE - NE,Hunter Henry,TE,NE,@DAL,FlyRamsFly,,,,,,,4.0,51.0,,,,,,,,9.1
Durham Smythe TE - MIA,Durham Smythe,TE,MIA,@BUF,FA,,,,,,,4.0,41.0,,,,,,,,9.1
Noah Fant TE - SEA,Noah Fant,TE,SEA,@NYG,FA,,,,,,,2.0,63.0,,,,,,,,8.3
Logan Thomas TE - WAS,Logan Thomas,TE,WAS,@PHI,W (Oct 11),,,,,2.0,,3.0,41.0,,,,,,,,7.5
Josiah Deguara TE - GB,Josiah Deguara,TE,GB,DET,FA,,,,,,,4.0,34.0,,,,,,,,7.4
C.J. Uzomah TE - NYJ,C.J. Uzomah,TE,NYJ,KC,FA,,,,,,,1.0,1.0,1.0,,,,,,,7.1
Dalton Kincaid TE - BUF,Dalton Kincaid,TE,BUF,MIA,Magic Eulers,,,,,,,4.0,27.0,,,,,,,,6.7
Taysom Hill TE - NO,Taysom Hill,TE,NO,TB,St Quintin Heidschnucken,1.0,13.0,,,10.0,,1.0,7.0,,,,,,,,6.0
Darren Waller TE - NYG,Darren Waller,TE,NYG,SEA,Alta Villa Cardinals,,,,,,,3.0,21.0,,,,,,,,5.1
