Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Tre Brown DB - SEA Q,Tre Brown,DB,SEA,@DET,FA,4.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,2.0,1.0,40.0,36.0
Jason Pinnock DB - NYG,Jason Pinnock,DB,NYG,@ARI,Alta Villa Cardinals,10.0,3.0,,3.0,,,,,,,,,,,,,27.5
Julian Love DB - SEA Q,Julian Love,DB,SEA,@DET,Wbn Beasts,10.0,3.0,,,,,1.0,,,,,,,,,,24.5
Camryn Bynum DB - MIN,Camryn Bynum,DB,MIN,@PHI,Washington Fantasy Team,6.0,9.0,,1.0,,,,,,,,,,,,,22.5
Daxton Hill DB - CIN,Daxton Hill,DB,CIN,BAL,Magic Eulers,9.0,3.0,,,,,,,,,,,,1.0,,,21.5
Geno Stone DB - BAL,Geno Stone,DB,BAL,@CIN,FA,7.0,2.0,,,1.0,,,,,,,,,1.0,,36.0,19.2
Jalen Thompson DB - ARI,Jalen Thompson,DB,ARI,NYG,dirty birds,5.0,2.0,,1.0,1.0,,,,,,,,,1.0,,35.0,19.0
Deommodore Lenoir DB - SF,Deommodore Lenoir,DB,SF,@LA,Bad Wildcats Hunschat,8.0,2.0,,,1.0,,,,,,,,,1.0,,21.0,17.2
Sean Murphy-Bunting DB - TEN,Sean,Murphy,Bunting,LAC,GLADIATORS of NORSCHT,2.0,3.0,,,,,,,,,,,,3.0,,,16.5
L'Jarius Sneed DB - KC,L'Jarius Sneed,DB,KC,@JAX,FlyRamsFly,6.0,1.0,,1.0,,,1.0,,,,,,,2.0,,,13.5
Marcus Maye DB - NO SUS,Marcus Maye,DB,NO,@CAR,Koblenz 87ers,6.0,1.0,1.0,,,,,,,,,,,,,,12.5
Jayron Kearse DB - DAL,Jayron Kearse,DB,DAL,NYJ,Koblenz 87ers,2.0,,,,1.0,,,,,,,,,1.0,,32.0,12.4
Vonn Bell DB - CAR,Vonn Bell,DB,CAR,NO,St Quintin Heidschnucken,3.0,3.0,,,1.0,,,,,,,,,2.0,,11.0,11.7
Jevon Holland DB - MIA,Jevon Holland,DB,MIA,@NE,GLADIATORS of NORSCHT,6.0,5.0,,1.0,,,,,,,,,,1.0,,,11.5
Elijah Riley DB - PIT,Elijah Riley,DB,PIT,CLE,FA,1.0,,1.0,1.0,,,,,,,,,,,1.0,,11.0
M.J. Stewart DB - HOU,M.J. Stewart,DB,HOU,IND,FA,6.0,4.0,,,,1.0,,,,,,,,,,,11.0
Tre Avery DB - TEN,Tre Avery,DB,TEN,LAC,FA,7.0,1.0,,1.0,,,,,,,,,,1.0,,,10.5
Darious Williams DB - JAX,Darious Williams,DB,JAX,KC,FA,4.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,10.5
Justin Evans DB - PHI Q View News,Justin Evans,DB,PHI,MIN,FA,3.0,,,,,1.0,1.0,,,,,,,1.0,,,10.0
Christian Gonzalez DB - NE,Christian Gonzalez,DB,NE,MIA,Bad Wildcats Hunschat,6.0,,,,1.0,,,,,,,,,1.0,,,10.0
Xavien Howard DB - MIA,Xavien Howard,DB,MIA,@NE,FA,6.0,,,,1.0,,,,,,,,,1.0,,,10.0
Alontae Taylor DB - NO,Alontae Taylor,DB,NO,@CAR,FA,5.0,,,2.0,,,,,,,,,,1.0,,,10.0
Charvarius Ward DB - SF,Charvarius Ward,DB,SF,@LA,Boppard Raiders,8.0,2.0,,,,,,,,,,,,1.0,,,10.0
Denzel Ward DB - CLE,Denzel Ward,DB,CLE,@PIT,Bad Wildcats Hunschat,5.0,,,,,1.0,,,,,,,,2.0,,,10.0
Jordan Whitehead DB - NYJ,Jordan Whitehead,DB,NYJ,@DAL,St Quintin Heidschnucken,7.0,2.0,,1.0,,,,,,,,,,,,,10.0
Kevin Byard DB - TEN,Kevin Byard,DB,TEN,LAC,FlyRamsFly,7.0,5.0,,,,,,,,,,,,,,,9.5
Tre Herndon DB - JAX,Tre Herndon,DB,JAX,KC,FA,4.0,3.0,,,,1.0,,,,,,,,1.0,,,9.5
Grant Delpit DB - CLE,Grant Delpit,DB,CLE,@PIT,Wbn Beasts,4.0,2.0,,,1.0,,1.0,,,,,,,1.0,,,9.0
Sauce Gardner DB - NYJ,Sauce Gardner,DB,NYJ,@DAL,GLADIATORS of NORSCHT,4.0,2.0,,,,1.0,,,,,,,,1.0,,,9.0
Derwin James DB - LAC D View News,Derwin James,DB,LAC,@TEN,St Quintin Heidschnucken,7.0,4.0,,,,,,,,,,,,,,,9.0
Rayshawn Jenkins DB - JAX,Rayshawn Jenkins,DB,JAX,KC,Slay,6.0,2.0,,,,,,,,,,,,2.0,,,9.0
Damontae Kazee DB - PIT,Damontae Kazee,DB,PIT,CLE,FA,6.0,,,,,,1.0,,,,,,,,,,9.0
Rasul Douglas DB - GB,Rasul Douglas,DB,GB,@ATL,dirty birds,4.0,,,,1.0,,,,,,,,,2.0,,-2.0,8.6
Julian Blackmon DB - IND,Julian Blackmon,DB,IND,@HOU,FA,7.0,3.0,,,,,,,,,,,,,,,8.5
Terrell Edmunds DB - PHI,Terrell Edmunds,DB,PHI,MIN,FA,5.0,1.0,,,,1.0,,,,,,,,,,,8.5
Justin Simmons DB - DEN Q View News,Justin Simmons,DB,DEN,WAS,Washington Fantasy Team,7.0,3.0,,,,,,,,,,,,,,,8.5
Jordan Fuller DB - LA,Jordan Fuller,DB,LA,SF,Washington Fantasy Team,3.0,4.0,,,,1.0,,,,,,,,,,,8.0
Theo Jackson DB - MIN,Theo Jackson,DB,MIN,@PHI,FA,4.0,,,,1.0,,,,,,,,,1.0,,,8.0
Kerby Joseph DB - DET IA,Kerby Joseph,DB,DET,SEA,Boppard Raiders,6.0,2.0,,,,,,,,,,,,1.0,,,8.0
Damarri Mathis DB - DEN,Damarri Mathis,DB,DEN,WAS,FA,6.0,,,1.0,,,,,,,,,,,,,8.0
Ryan Neal DB - TB,Ryan Neal,DB,TB,CHI,Magic Eulers,4.0,4.0,,1.0,,,,,,,,,,,,,8.0
Greg Stroman DB - CHI,Greg Stroman,DB,CHI,@TB,FA,5.0,2.0,,1.0,,,,,,,,,,,,,8.0
Xavier Woods DB - CAR O,Xavier Woods,DB,CAR,NO,FA,4.0,4.0,,,,,,,,,,,,2.0,,,8.0
Trevon Diggs DB - DAL IR,Trevon Diggs,DB,DAL,NYJ,FA,1.0,,,,1.0,,,,,,,,,2.0,,8.0,7.6
Jamel Dean DB - TB O View News,Jamel Dean,DB,TB,CHI,FA,7.0,1.0,,,,,,,,,,,,,,,7.5
DeShon Elliott DB - MIA Q View News,DeShon Elliott,DB,MIA,@NE,Wbn Beasts,3.0,1.0,,,,,1.0,,,,,,,1.0,,,7.5
Marcus Epps DB - LV,Marcus Epps,DB,LV,@BUF,Bad Wildcats Hunschat,5.0,1.0,,1.0,,,,,,,,,,,,,7.5
Minkah Fitzpatrick DB - PIT,Minkah Fitzpatrick,DB,PIT,CLE,Washington Fantasy Team,5.0,1.0,,,,,,,,,,,,2.0,,,7.5
C.J. Gardner-Johnson DB - DET,C.J.,Gardner,Johnson,SEA,W (Oct 4),7.0,1.0,,,,,,,,,,,,,,,7.5
Xavier McKinney DB - NYG,Xavier McKinney,DB,NYG,@ARI,FA,6.0,1.0,,,,,,,,,,,,1.0,,,7.5
Kenny Moore II DB - IND,Kenny Moore II,DB,IND,@HOU,FA,5.0,1.0,,1.0,,,,,,,,,,,,,7.5
Asante Samuel Jr. DB - LAC,Asante Samuel Jr.,DB,LAC,@TEN,FA,5.0,1.0,,1.0,,,,,,,,,,,,,7.5
Kei'Trel Clark DB - ARI,Kei'Trel Clark,DB,ARI,NYG,FA,5.0,,,,,,,,,,,,,2.0,,,7.0
Jerry Jacobs DB - DET View News,Jerry Jacobs,DB,DET,SEA,W (Oct 4),6.0,2.0,,,,,,,,,,,,,,,7.0
Roger McCreary DB - TEN,Roger McCreary,DB,TEN,LAC,FA,4.0,2.0,,1.0,,,,,,,,,,,,,7.0
Darnell Savage DB - GB,Darnell Savage,DB,GB,@ATL,W (Oct 4),6.0,2.0,,,,,,,,,,,,,,,7.0
Ar'Darius Washington DB - BAL IR,Ar'Darius Washington,DB,BAL,@CIN,FA,3.0,2.0,,,,,,,,,,,,1.0,1.0,,7.0
Paulson Adebo DB - NO O View News,Paulson Adebo,DB,NO,@CAR,FA,3.0,1.0,,,,,1.0,,,,,,,,,,6.5
Andre Cisco DB - JAX,Andre Cisco,DB,JAX,KC,FA,1.0,1.0,,,1.0,,,,,,,,,2.0,,,6.5
Kamren Curl DB - WAS,Kamren Curl,DB,WAS,@DEN,Koblenz 87ers,4.0,5.0,,,,,,,,,,,,,,,6.5
C.J. Henderson DB - CAR,C.J. Henderson,DB,CAR,NO,FA,6.0,1.0,,,,,,,,,,,,,,,6.5
Nate Hobbs DB - LV Q View News,Nate Hobbs,DB,LV,@BUF,Boppard Raiders,4.0,3.0,,,,,,,,,,,,1.0,,,6.5
Malik Hooker DB - DAL,Malik Hooker,DB,DAL,NYJ,FA,1.0,1.0,,,1.0,,,,,,,,,2.0,,,6.5
