Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Kirk Cousins QB - MIN,Kirk Cousins,QB,MIN,@PHI,FlyRamsFly,31.0,364.0,4.0,,,,,,,,,,,1.0,1.0,107.4
Russell Wilson QB - DEN,Russell Wilson,QB,DEN,WAS,Washington Fantasy Team,18.0,308.0,3.0,1.0,56.0,,,,,,,,,1.0,1.0,103.0
Daniel Jones QB - NYG,Daniel Jones,QB,NYG,@ARI,dirty birds,26.0,321.0,2.0,1.0,59.0,1.0,,,,,,,,,,92.9
Geno Smith QB - SEA,Geno Smith,QB,SEA,@DET,Koblenz 87ers,32.0,328.0,2.0,,20.0,,,,,,,,,,,90.8
Patrick Mahomes QB - KC,Patrick Mahomes,QB,KC,@JAX,St Quintin Heidschnucken,29.0,305.0,2.0,1.0,30.0,,,,,,,,,,,84.5
Justin Herbert QB - LAC,Justin Herbert,QB,LAC,@TEN,Bad Wildcats Hunschat,27.0,305.0,2.0,,,,,,,,,,1.0,,,82.5
Jared Goff QB - DET,Jared Goff,QB,DET,SEA,Wbn Beasts,28.0,323.0,3.0,1.0,,,,,,,,,,,,82.3
C.J. Stroud QB - HOU,C.J. Stroud,QB,HOU,IND,GLADIATORS of NORSCHT,30.0,384.0,2.0,,1.0,,,,,,,,,1.0,2.0,81.6
Baker Mayfield QB - TB,Baker Mayfield,QB,TB,CHI,Slay,26.0,317.0,1.0,,17.0,,,,,,,,,,,80.1
Josh Allen QB - BUF,Josh Allen,QB,BUF,LV,FlyRamsFly,31.0,274.0,3.0,,7.0,,,,,,,,,,,77.8
Matthew Stafford QB - LA,Matthew Stafford,QB,LA,SF,Magic Eulers,34.0,307.0,1.0,2.0,17.0,,,,,,,,,,,72.1
Jalen Hurts QB - PHI,Jalen Hurts,QB,PHI,MIN,dirty birds,18.0,193.0,1.0,1.0,35.0,2.0,,,,,,,,,,71.3
Dak Prescott QB - DAL,Dak Prescott,QB,DAL,NYJ,Koblenz 87ers,31.0,255.0,2.0,,14.0,,,,,,,,,,,71.3
Lamar Jackson QB - BAL,Lamar Jackson,QB,BAL,@CIN,Washington Fantasy Team,24.0,237.0,2.0,,54.0,,,,,,,,,,,70.5
Sam Howell QB - WAS,Sam Howell,QB,WAS,@DEN,Boppard Raiders,27.0,299.0,2.0,,13.0,,,,,,,,,,1.0,68.5
Joshua Dobbs QB - ARI,Joshua Dobbs,QB,ARI,NYG,FA,21.0,228.0,1.0,,41.0,1.0,,,,,,,1.0,,,67.0
Mac Jones QB - NE,Mac Jones,QB,NE,MIA,FA,31.0,231.0,1.0,1.0,25.0,,,,,,,,,,,59.1
Ryan Tannehill QB - TEN,Ryan Tannehill,QB,TEN,LAC,FA,20.0,246.0,1.0,,12.0,1.0,,,,,,,,,,59.0
Joe Burrow QB - CIN View News,Joe Burrow,QB,CIN,BAL,Magic Eulers,27.0,222.0,2.0,1.0,5.0,,,,,,,,,,,57.2
Desmond Ridder QB - ATL,Desmond Ridder,QB,ATL,GB,FA,19.0,237.0,1.0,1.0,39.0,1.0,,,,,,,,,,56.5
Jordan Love QB - GB,Jordan Love,QB,GB,@ATL,GLADIATORS of NORSCHT,14.0,151.0,3.0,,23.0,,,,,,,,,,,51.7
Kenny Pickett QB - PIT,Kenny Pickett,QB,PIT,CLE,FA,15.0,222.0,1.0,1.0,-6.0,,,,,,,,,,,51.0
Tua Tagovailoa QB - MIA,Tua Tagovailoa,QB,MIA,@NE,Alta Villa Cardinals,21.0,249.0,1.0,1.0,3.0,,,,,,,,,,2.0,46.5
Brock Purdy QB - SF,Brock Purdy,QB,SF,@LA,St Quintin Heidschnucken,17.0,206.0,,,5.0,1.0,,,,,,,,,1.0,44.6
Bryce Young QB - CAR,Bryce Young,QB,CAR,NO,FA,22.0,153.0,1.0,,34.0,,,,,,,,1.0,1.0,1.0,44.1
Trevor Lawrence QB - JAX,Trevor Lawrence,QB,JAX,KC,Boppard Raiders,22.0,216.0,,,26.0,,,,,,,,,1.0,2.0,39.8
Zach Wilson QB - NYJ,Zach Wilson,QB,NYJ,@DAL,FA,12.0,170.0,1.0,3.0,36.0,,,,,,,,,,,39.2
Derek Carr QB - NO Q View News,Derek Carr,QB,NO,@CAR,FA,21.0,228.0,,1.0,-4.0,,,,,,,,,,,37.0
Deshaun Watson QB - CLE Q View News,Deshaun Watson,QB,CLE,@PIT,Boppard Raiders,22.0,235.0,1.0,1.0,22.0,,,,,,,,1.0,2.0,2.0,34.9
Justin Fields QB - CHI,Justin Fields,QB,CHI,@TB,Wbn Beasts,16.0,211.0,1.0,2.0,3.0,1.0,,,,,,,,,2.0,34.7
Anthony Richardson QB - IND View News,Anthony Richardson,QB,IND,@HOU,Slay,6.0,56.0,,,35.0,2.0,,,,,,,,,,30.6
Jimmy Garoppolo QB - LV Q View News,Jimmy Garoppolo,QB,LV,@BUF,FA,16.0,185.0,1.0,2.0,1.0,,,,,,,,,,,28.7
Holton Ahlers QB,Holton Ahlers,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Brandon Allen QB - SF,Brandon Allen,QB,SF,@LA,FA,,,,,,,,,,,,,,,,0.0
Tyson Bagent QB - CHI,Tyson Bagent,QB,CHI,@TB,FA,,,,,,,,,,,,,,,,0.0
Matt Barkley QB Q,Matt Barkley QB,Q,,Bye,FA,,,,,,,,,,,,,,,,0.0
C.J. Beathard QB - JAX,C.J. Beathard,QB,JAX,KC,FA,,,,,,,,,,,,,,,,0.0
Stetson Bennett QB - LA NFI-R,Stetson Bennett,QB,LA,SF,FA,,,,,,,,,,,,,,,,0.0
