Player,Team,Postion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Christian McCaffrey,SF,RB,85,100,61,85,,,,,,,,,,,,,,,213,81
Elijah Mitchell,SF,RB,15,0,34,0,,,,,,,,,,,,,,,38,25
Antonio Gibson,WAS,RB,35,48,61,38,,,,,,,,,,,,,,,123,45
Chris Rodriguez Jr.,WAS,RB,4,3,0,0,,,,,,,,,,,,,,,5,3
Brian Robinson Jr.,WAS,RB,61,52,37,55,,,,,,,,,,,,,,,144,52
James Conner,ARI,RB,84,72,64,62,,,,,,,,,,,,,,,182,70
Keaontay Ingram,ARI,RB,11,15,15,0,,,,,,,,,,,,,,,26,14
Jamaal Williams,NO,RB,75,23,0,0,,,,,,,,,,,,,,,67,47
Tony Jones Jr.,NO,RB,11,52,49,0,,,,,,,,,,,,,,,77,38
Adam Prentice,NO,RB,17,0,0,14,,,,,,,,,,,,,,,20,15
Tyjae Spears,TEN,RB,54,37,56,53,,,,,,,,,,,,,,,120,50
Derrick Henry,TEN,RB,48,71,38,59,,,,,,,,,,,,,,,133,55
Alexander Mattison,MIN,RB,73,76,80,69,,,,,,,,,,,,,,,190,75
Ty Chandler,MIN,RB,17,12,15,0,,,,,,,,,,,,,,,30,15
C.J. Ham,MIN,RB,34,0,10,10,,,,,,,,,,,,,,,35,18
Sean Tucker,TB,RB,15,24,9,0,,,,,,,,,,,,,,,31,17
Rachaad White,TB,RB,79,72,91,70,,,,,,,,,,,,,,,198,77
Chase Edmonds,TB,RB,12,4,0,0,,,,,,,,,,,,,,,11,8
Deon Jackson,IND,RB,71,0,0,0,,,,,,,,,,,,,,,51,71
Jake Funk,IND,RB,18,0,0,0,,,,,,,,,,,,,,,13,18
Evan Hull,IND,RB,11,0,0,0,,,,,,,,,,,,,,,8,11
Travis Etienne Jr.,JAC,RB,80,72,71,85,,,,,,,,,,,,,,,212,77
D'Ernest Johnson,JAC,RB,1,9,16,2,,,,,,,,,,,,,,,20,7
Tank Bigsby,JAC,RB,21,0,12,12,,,,,,,,,,,,,,,32,15
Austin Ekeler,LAC,RB,51,0,0,0,,,,,,,,,,,,,,,41,51
Joshua Kelley,LAC,RB,48,79,73,60,,,,,,,,,,,,,,,180,64
Salvon Ahmed,MIA,RB,28,19,0,0,,,,,,,,,,,,,,,31,24
Raheem Mostert,MIA,RB,73,73,51,43,,,,,,,,,,,,,,,160,60
Alec Ingold,MIA,RB,45,0,34,31,,,,,,,,,,,,,,,75,37
Kenneth Walker III,SEA,RB,63,61,51,71,,,,,,,,,,,,,,,153,60
DeeJay Dallas,SEA,RB,22,12,13,7,,,,,,,,,,,,,,,34,13
Zach Charbonnet,SEA,RB,24,26,43,24,,,,,,,,,,,,,,,76,30
Kyren Williams,LAR,RB,65,95,100,72,,,,,,,,,,,,,,,243,82
Cam Akers,Multi,RB,35,0,0,29,,,,,,,,,,,,,,,42,33
Rhamondre Stevenson,NE,RB,73,73,65,64,,,,,,,,,,,,,,,194,69
Ty Montgomery II,NE,RB,9,4,0,0,,,,,,,,,,,,,,,10,6
Ezekiel Elliott,NE,RB,35,30,38,40,,,,,,,,,,,,,,,99,35
Boston Scott,PHI,RB,12,13,0,0,,,,,,,,,,,,,,,18,13
Kenneth Gainwell,PHI,RB,62,0,46,38,,,,,,,,,,,,,,,105,48
D'Andre Swift,PHI,RB,29,75,54,63,,,,,,,,,,,,,,,165,56
D'Onta Foreman,CHI,RB,28,0,0,0,,,,,,,,,,,,,,,21,28
Khalil Herbert,CHI,RB,36,60,55,78,,,,,,,,,,,,,,,143,57
Roschon Johnson,CHI,RB,39,42,45,22,,,,,,,,,,,,,,,90,36
Khari Blasingame,CHI,RB,9,0,0,0,,,,,,,,,,,,,,,7,9
Patrick Taylor Jr.,GB,RB,12,22,39,0,,,,,,,,,,,,,,,49,26
AJ Dillon,GB,RB,48,68,52,67,,,,,,,,,,,,,,,142,58
Aaron Jones,GB,RB,47,0,0,35,,,,,,,,,,,,,,,48,41
Samaje Perine,DEN,RB,45,50,31,46,,,,,,,,,,,,,,,103,43
Jaleel McLaughlin,DEN,RB,8,5,21,33,,,,,,,,,,,,,,,37,15
Javonte Williams,DEN,RB,45,45,42,17,,,,,,,,,,,,,,,93,39
Michael Burton,DEN,RB,9,20,0,23,,,,,,,,,,,,,,,30,17
Josh Jacobs,LV,RB,80,72,82,70,,,,,,,,,,,,,,,186,76
Zamir White,LV,RB,8,15,0,10,,,,,,,,,,,,,,,18,10
Ameer Abdullah,LV,RB,12,15,17,21,,,,,,,,,,,,,,,40,16
Saquon Barkley,NYG,RB,64,97,0,0,,,,,,,,,,,,,,,111,80
Matt Breida,NYG,RB,23,3,82,73,,,,,,,,,,,,,,,114,43
Gary Brightwell,NYG,RB,16,3,18,25,,,,,,,,,,,,,,,41,16
Rico Dowdle,DAL,RB,16,21,14,9,,,,,,,,,,,,,,,44,15
Tony Pollard,DAL,RB,64,64,86,53,,,,,,,,,,,,,,,200,68
Deuce Vaughn,DAL,RB,14,15,0,31,,,,,,,,,,,,,,,43,20
Michael Carter,NYJ,RB,22,32,24,31,,,,,,,,,,,,,,,60,27
Dalvin Cook,NYJ,RB,50,36,25,25,,,,,,,,,,,,,,,75,34
Breece Hall,NYJ,RB,31,34,49,44,,,,,,,,,,,,,,,90,40
Latavius Murray,BUF,RB,23,23,25,33,,,,,,,,,,,,,,,70,26
Damien Harris,BUF,RB,13,18,13,28,,,,,,,,,,,,,,,48,18
James Cook,BUF,RB,59,59,62,40,,,,,,,,,,,,,,,152,56
Rashaad Penny,PHI,RB,0,12,0,0,,,,,,,,,,,,,,,9,12
Emanuel Wilson,GB,RB,0,10,10,0,,,,,,,,,,,,,,,13,10
Reggie Gilliam,BUF,RB,0,12,15,0,,,,,,,,,,,,,,,19,13
Chase Brown,CIN,RB,0,2,1,2,,,,,,,,,,,,,,,3,2
Julius Chestnut,TEN,RB,0,2,0,0,,,,,,,,,,,,,,,1,2
Elijah Dotson,LAC,RB,0,13,0,0,,,,,,,,,,,,,,,9,13
Isaiah Spiller,LAC,RB,0,6,24,23,,,,,,,,,,,,,,,35,18
Dare Ogunbowale,HOU,RB,0,19,0,0,,,,,,,,,,,,,,,16,19
Zack Moss,IND,RB,0,98,76,83,,,,,,,,,,,,,,,173,84
Craig Reynolds,DET,RB,0,15,29,1,,,,,,,,,,,,,,,31,15
Ronnie Rivers,LAR,RB,0,5,0,28,,,,,,,,,,,,,,,27,17
Emari Demercado,ARI,RB,0,12,18,35,,,,,,,,,,,,,,,44,22
Hunter Luepke,DAL,RB,0,21,10,20,,,,,,,,,,,,,,,40,17
De'Von Achane,MIA,RB,0,10,41,60,,,,,,,,,,,,,,,75,37
Pierre Strong Jr.,CLE,RB,0,15,11,13,,,,,,,,,,,,,,,30,13
Kyle Juszczyk,SF,RB,0,0,51,65,,,,,,,,,,,,,,,78,57
Jordan Mason,SF,RB,0,0,5,15,,,,,,,,,,,,,,,12,9
Chris Brooks,MIA,RB,0,0,18,0,,,,,,,,,,,,,,,13,18
Nick Bawden,NYJ,RB,0,0,8,0,,,,,,,,,,,,,,,5,8
Zonovan Knight,DET,RB,0,0,10,0,,,,,,,,,,,,,,,7,10
Kendre Miller,NO,RB,0,0,34,8,,,,,,,,,,,,,,,26,21
Kenyan Drake,BAL,RB,0,0,15,0,,,,,,,,,,,,,,,11,15
Melvin Gordon III,BAL,RB,0,0,40,19,,,,,,,,,,,,,,,40,31
Trey Sermon,IND,RB,0,0,21,16,,,,,,,,,,,,,,,28,19
Kareem Hunt,CLE,RB,0,0,20,22,,,,,,,,,,,,,,,29,21
Jakob Johnson,LV,RB,0,0,10,34,,,,,,,,,,,,,,,32,22
Travis Homer,CHI,RB,0,0,4,0,,,,,,,,,,,,,,,2,4
JaMycal Hasty,JAC,RB,0,0,0,8,,,,,,,,,,,,,,,5,8
Alvin Kamara,NO,RB,0,0,0,75,,,,,,,,,,,,,,,49,75
Ke'Shawn Vaughn,TB,RB,0,0,0,30,,,,,,,,,,,,,,,21,30
Derrick Gore,WAS,RB,0,0,0,8,,,,,,,,,,,,,,,6,8
Patrick Ricard,BAL,RB,0,0,0,40,,,,,,,,,,,,,,,23,40
Kadarius Toney,KC,WR,25,28,3,24,,,,,,,,,,,,,,,54,19
Rashee Rice,KC,WR,31,18,51,46,,,,,,,,,,,,,,,103,37
Skyy Moore,KC,WR,69,58,65,59,,,,,,,,,,,,,,,175,63
Richie James Jr.,KC,WR,35,4,0,0,,,,,,,,,,,,,,,26,20
Justin Watson,KC,WR,29,46,40,61,,,,,,,,,,,,,,,124,44
Justyn Ross,KC,WR,9,0,38,0,,,,,,,,,,,,,,,35,25
Marquez Valdes-Scantling,KC,WR,63,82,53,54,,,,,,,,,,,,,,,175,63
Kalif Raymond,DET,WR,27,42,36,23,,,,,,,,,,,,,,,89,32
Josh Reynolds,DET,WR,70,80,0,73,,,,,,,,,,,,,,,157,74
Amon-Ra St. Brown,DET,WR,94,74,94,88,,,,,,,,,,,,,,,247,88
Marvin Jones Jr.,DET,WR,56,52,0,28,,,,,,,,,,,,,,,94,45
Zay Flowers,BAL,WR,84,77,93,98,,,,,,,,,,,,,,,236,88
Odell Beckham Jr.,BAL,WR,92,52,0,0,,,,,,,,,,,,,,,98,71
Rashod Bateman,BAL,WR,39,59,69,0,,,,,,,,,,,,,,,119,56
Devin Duvernay,BAL,WR,11,29,25,60,,,,,,,,,,,,,,,82,30
Noah Brown,HOU,WR,68,0,0,0,,,,,,,,,,,,,,,52,68
Xavier Hutchinson,HOU,WR,9,21,0,0,,,,,,,,,,,,,,,25,16
Robert Woods,HOU,WR,75,86,77,72,,,,,,,,,,,,,,,224,78
Nico Collins,HOU,WR,71,62,66,76,,,,,,,,,,,,,,,198,69
Tank Dell,HOU,WR,48,79,61,70,,,,,,,,,,,,,,,187,65
Mack Hollins,ATL,WR,63,71,72,79,,,,,,,,,,,,,,,185,71
Drake London,ATL,WR,90,82,93,86,,,,,,,,,,,,,,,226,87
Scott Miller,ATL,WR,19,12,0,0,,,,,,,,,,,,,,,20,15
Laviska Shenault Jr.,CAR,WR,32,17,14,18,,,,,,,,,,,,,,,59,20
Jonathan Mingo,CAR,WR,87,98,33,0,,,,,,,,,,,,,,,152,70
Adam Thielen,CAR,WR,88,87,92,90,,,,,,,,,,,,,,,258,90
Terrace Marshall Jr.,CAR,WR,90,0,59,62,,,,,,,,,,,,,,,161,71
Ihmir Smith-Marsette,CAR,WR,3,0,4,7,,,,,,,,,,,,,,,10,4
Elijah Moore,CLE,WR,69,77,76,83,,,,,,,,,,,,,,,229,76
Amari Cooper,CLE,WR,62,72,80,81,,,,,,,,,,,,,,,222,74
Donovan Peoples-Jones,CLE,WR,89,87,89,90,,,,,,,,,,,,,,,267,89
Marquise Goodwin,CLE,WR,14,17,7,6,,,,,,,,,,,,,,,34,11
David Bell,CLE,WR,14,13,0,0,,,,,,,,,,,,,,,21,13
Ja'Marr Chase,CIN,WR,96,98,96,94,,,,,,,,,,,,,,,237,96
Tyler Boyd,CIN,WR,84,92,77,91,,,,,,,,,,,,,,,209,85
Tee Higgins,CIN,WR,95,88,86,51,,,,,,,,,,,,,,,199,81
George Pickens,PIT,WR,89,85,89,98,,,,,,,,,,,,,,,215,90
Allen Robinson II,PIT,WR,89,87,81,85,,,,,,,,,,,,,,,203,85
Calvin Austin III,PIT,WR,56,76,73,90,,,,,,,,,,,,,,,174,73
Diontae Johnson,PIT,WR,43,0,0,0,,,,,,,,,,,,,,,27,43
Deebo Samuel,SF,WR,87,89,82,87,,,,,,,,,,,,,,,226,86
Jauan Jennings,SF,WR,32,47,37,0,,,,,,,,,,,,,,,80,38
Brandon Aiyuk,SF,WR,85,53,0,76,,,,,,,,,,,,,,,130,72
Ray-Ray McCloud III,SF,WR,4,7,46,24,,,,,,,,,,,,,,,58,22
Curtis Samuel,WAS,WR,65,62,74,69,,,,,,,,,,,,,,,185,67
Terry McLaurin,WAS,WR,89,74,81,81,,,,,,,,,,,,,,,224,81
Jahan Dotson,WAS,WR,87,85,94,72,,,,,,,,,,,,,,,231,84
Dyami Brown,WAS,WR,27,32,22,32,,,,,,,,,,,,,,,79,29
Marquise Brown,ARI,WR,84,94,95,94,,,,,,,,,,,,,,,238,92
Rondale Moore,ARI,WR,68,65,54,76,,,,,,,,,,,,,,,171,66
Michael Wilson,ARI,WR,90,43,67,70,,,,,,,,,,,,,,,175,68
Zach Pascal,ARI,WR,8,35,23,30,,,,,,,,,,,,,,,63,24
Rashid Shaheed,NO,WR,54,49,72,58,,,,,,,,,,,,,,,155,58
Michael Thomas,NO,WR,80,78,75,80,,,,,,,,,,,,,,,210,78
Keith Kirkwood,NO,WR,34,22,28,0,,,,,,,,,,,,,,,56,28
Chris Olave,NO,WR,78,79,80,82,,,,,,,,,,,,,,,214,80
Treylon Burks,TEN,WR,90,65,75,0,,,,,,,,,,,,,,,135,77
Chris Moore,TEN,WR,14,46,38,79,,,,,,,,,,,,,,,109,45
DeAndre Hopkins,TEN,WR,78,60,73,53,,,,,,,,,,,,,,,158,65
Nick Westbrook-Ikhine,TEN,WR,81,68,0,83,,,,,,,,,,,,,,,150,77
Justin Jefferson,MIN,WR,98,100,95,98,,,,,,,,,,,,,,,246,98
Jordan Addison,MIN,WR,56,69,71,58,,,,,,,,,,,,,,,162,64
K.J. Osborn,MIN,WR,91,97,93,83,,,,,,,,,,,,,,,230,91
Rakim Jarrett,TB,WR,9,23,0,18,,,,,,,,,,,,,,,35,17
Deven Thompkins,TB,WR,26,45,21,63,,,,,,,,,,,,,,,105,41
Mike Evans,TB,WR,84,61,81,37,,,,,,,,,,,,,,,164,64
Chris Godwin,TB,WR,85,75,87,75,,,,,,,,,,,,,,,205,80
Trey Palmer,TB,WR,34,49,72,75,,,,,,,,,,,,,,,145,56
Josh Downs,IND,WR,79,75,80,73,,,,,,,,,,,,,,,214,77
Alec Pierce,IND,WR,92,100,96,91,,,,,,,,,,,,,,,262,95
Michael Pittman Jr.,IND,WR,97,98,100,95,,,,,,,,,,,,,,,271,98
Isaiah McKenzie,IND,WR,1,4,11,11,,,,,,,,,,,,,,,19,7
Jamal Agnew,JAC,WR,4,37,55,0,,,,,,,,,,,,,,,68,32
Calvin Ridley,JAC,WR,81,79,82,80,,,,,,,,,,,,,,,223,81
