Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
DeVonta Smith WR - PHI View News,DeVonta Smith,WR,PHI,MIN,Boppard Raiders,,,,,,,4.0,131.0,1.0,,,,,,,49.1
Marvin Mims Jr. WR - DEN,Marvin Mims Jr.,WR,DEN,WAS,FA,,,,,10.0,,2.0,113.0,1.0,45.0,,,,,,48.55
George Pickens WR - PIT,George Pickens,WR,PIT,CLE,Bad Wildcats Hunschat,,,,,,,4.0,127.0,1.0,,,,,,,47.7
Keenan Allen WR - LAC,Keenan Allen,WR,LAC,@TEN,FlyRamsFly,,,,,,,8.0,111.0,2.0,,,,,,,41.1
Puka Nacua WR - LA,Puka Nacua,WR,LA,SF,St Quintin Heidschnucken,,,,,4.0,,15.0,147.0,,,,,,,,40.5
Mike Evans WR - TB,Mike Evans,WR,TB,CHI,GLADIATORS of NORSCHT,,,,,,,6.0,171.0,1.0,,,,,,,39.1
Nico Collins WR - HOU,Nico Collins,WR,HOU,IND,dirty birds,,,,,,,7.0,146.0,1.0,,,,,,,37.6
Brandon Johnson WR - DEN,Brandon Johnson,WR,DEN,WAS,FA,,,,,,,2.0,66.0,2.0,,,,,,,35.6
Christian Kirk WR - JAX,Christian Kirk,WR,JAX,KC,dirty birds,1.0,-1.0,,,,,11.0,110.0,,,,,,,,32.9
CeeDee Lamb WR - DAL,CeeDee Lamb,WR,DAL,NYJ,Slay,,,,,,,11.0,143.0,,,,,,,1.0,32.3
Garrett Wilson WR - NYJ,Garrett Wilson,WR,NYJ,@DAL,Wbn Beasts,,,,,,,2.0,83.0,1.0,,,,,,,32.3
Jordan Addison WR - MIN,Jordan Addison,WR,MIN,@PHI,Slay,,,,,,,3.0,72.0,1.0,,,,,,,31.2
Tee Higgins WR - CIN,Tee Higgins,WR,CIN,BAL,Washington Fantasy Team,,,,,,,8.0,89.0,2.0,,,,,,,28.9
Justin Jefferson WR - MIN,Justin Jefferson,WR,MIN,@PHI,Alta Villa Cardinals,,,,,,,11.0,159.0,,,,,,1.0,1.0,27.9
DJ Moore WR - CHI,DJ Moore,WR,CHI,@TB,Bad Wildcats Hunschat,,,,,,,6.0,104.0,,,,,,,,26.4
Tyler Lockett WR - SEA,Tyler Lockett,WR,SEA,@DET,Bad Wildcats Hunschat,,,,,,,8.0,59.0,2.0,,,,,,,25.9
Tank Dell WR - HOU,Tank Dell,WR,HOU,IND,Magic Eulers,,,,,,,7.0,72.0,1.0,13.0,,,,,,23.85
Josh Reynolds WR - DET View News,Josh Reynolds,WR,DET,SEA,W (Oct 4),,,,,,,5.0,66.0,2.0,,,,,,,23.6
Deebo Samuel WR - SF Q View News,Deebo Samuel,WR,SF,@LA,FlyRamsFly,,,,,38.0,1.0,6.0,63.0,,,,,,,1.0,22.9
Adam Thielen WR - CAR,Adam Thielen,WR,CAR,NO,Magic Eulers,,,,,,,7.0,54.0,1.0,,,,1.0,,,21.4
Gabe Davis WR - BUF,Gabe Davis,WR,BUF,LV,Boppard Raiders,,,,,,,6.0,92.0,1.0,,,,,,,21.2
Davante Adams WR - LV,Davante Adams,WR,LV,@BUF,GLADIATORS of NORSCHT,,,,,,,6.0,84.0,1.0,,,,,,,20.4
Jayden Reed WR - GB,Jayden Reed,WR,GB,@ATL,GLADIATORS of NORSCHT,,,,,,,4.0,37.0,2.0,,,,,,,19.7
Drake London WR - ATL,Drake London,WR,ATL,GB,Alta Villa Cardinals,,,,,,,6.0,67.0,1.0,,,,,,,18.7
Amon-Ra St. Brown WR - DET,Amon,,Ra,SEA,Washington Fantasy Team,,,,,,,6.0,102.0,,,,,,1.0,1.0,17.7
Nelson Agholor WR - BAL View News,Nelson Agholor,WR,BAL,@CIN,FA,,,,,,,5.0,63.0,1.0,,,,,,,17.3
Mike Williams WR - LAC IR,Mike Williams,WR,LAC,@TEN,Slay,,,,,3.0,,8.0,83.0,,,,,,,,16.9
Terry McLaurin WR - WAS,Terry McLaurin,WR,WAS,@DEN,Washington Fantasy Team,,,,,,,5.0,54.0,1.0,,,,,,,16.4
Amari Cooper WR - CLE,Amari Cooper,WR,CLE,@PIT,Wbn Beasts,,,,,,,7.0,90.0,,,,,,,,16.0
Tyreek Hill WR - MIA,Tyreek Hill,WR,MIA,@NE,Slay,,,,,,,5.0,40.0,1.0,,,,,,,16.0
Skyy Moore WR - KC,Skyy Moore,WR,KC,@JAX,FA,,,,,,,3.0,70.0,1.0,,,,,,,16.0
Tutu Atwell WR - LA,Tutu Atwell,WR,LA,SF,Magic Eulers,,,,,5.0,,7.0,77.0,,,,,,,,15.7
Kalif Raymond WR - DET View News,Kalif Raymond,WR,DET,SEA,W (Oct 4),,,,,11.0,,2.0,46.0,1.0,17.0,,,,,,15.65
Chris Olave WR - NO,Chris Olave,WR,NO,@CAR,Boppard Raiders,,,,,,,6.0,86.0,,,,,,,,14.6
Isaiah Hodgins WR - NYG,Isaiah Hodgins,WR,NYG,@ARI,FA,,,,,,,4.0,40.0,1.0,,,,,,,14.0
Robert Woods WR - HOU,Robert Woods,WR,HOU,IND,FA,,,,,,,6.0,74.0,,7.0,,,,,,13.75
Stefon Diggs WR - BUF,Stefon Diggs,WR,BUF,LV,GLADIATORS of NORSCHT,,,,,,,7.0,66.0,,,,,,,,13.6
DK Metcalf WR - SEA View News,DK Metcalf,WR,SEA,@DET,dirty birds,,,,,,,6.0,75.0,,,,,,,,13.5
Rashid Shaheed WR - NO,Rashid Shaheed,WR,NO,@CAR,FA,,,,,,,4.0,63.0,,63.0,,,,,,13.45
