Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Myles Garrett DL - CLE,Myles Garrett,DL,CLE,TEN,St Quintin Heidschnucken,4.0,1.0,3.5,3.0,,1.0,,,,,,,,,5.0,,54.5
Jarran Reed DL - SEA,Jarran Reed,DL,SEA,CAR,FA,5.0,3.0,2.0,2.0,,,,,,,,,,1.0,3.0,,39.5
Aidan Hutchinson DL - DET View News,Aidan Hutchinson,DL,DET,ATL,Washington Fantasy Team,3.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,2.0,1.0,,37.5
Leonard Floyd DL - BUF,Leonard Floyd,DL,BUF,@WAS,Alta Villa Cardinals,2.0,1.0,2.0,2.0,,,,,,,,,,,3.0,,34.5
Trey Hendrickson DL - CIN,Trey Hendrickson,DL,CIN,LA,Washington Fantasy Team,2.0,,2.0,2.0,,,,,,,,,,,2.0,,32.0
A.J. Epenesa DL - BUF,A.J. Epenesa,DL,BUF,@WAS,GLADIATORS of NORSCHT,1.0,,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,32.0,27.4
Brian Burns DL - CAR,Brian Burns,DL,CAR,@SEA,Magic Eulers,3.0,1.0,1.0,3.0,,,,,,,,,,,3.0,,21.5
Aaron Donald DL - LA,Aaron Donald,DL,LA,@CIN,Washington Fantasy Team,5.0,2.0,1.0,2.0,,,,,,,,,,,2.0,,20.0
Ed Oliver DL - BUF,Ed Oliver,DL,BUF,@WAS,FA,2.0,2.0,1.5,2.0,,,,,,,,,,,2.0,,20.0
Demarcus Lawrence DL - DAL,Demarcus Lawrence,DL,DAL,@ARI,FlyRamsFly,4.0,1.0,1.0,2.0,,,,,,,,,,,2.0,,18.5
DaQuan Jones DL - BUF,DaQuan Jones,DL,BUF,@WAS,FA,1.0,4.0,1.5,1.0,,,,,,,,,,,2.0,,18.0
Sam Hubbard DL - CIN,Sam Hubbard,DL,CIN,LA,FlyRamsFly,5.0,1.0,1.0,1.0,,,,,,,,,,,2.0,,17.5
Denico Autry DL - TEN Q View News,Denico Autry,DL,TEN,@CLE,Magic Eulers,2.0,,1.0,1.0,,1.0,,,,,,,,,2.0,,17.0
Sebastian Joseph-Day DL - LAC,Sebastian,Joseph,Day,@MIN,Slay,2.0,2.0,1.0,2.0,,,,,,,,,,,2.0,,17.0
Emmanuel Ogbah DL - MIA,Emmanuel Ogbah,DL,MIA,DEN,FA,1.0,2.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,5.0,17.0
Kwity Paye DL - IND,Kwity Paye,DL,IND,@BAL,Boppard Raiders,3.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,16.0
Charles Harris DL - DET,Charles Harris,DL,DET,ATL,Boppard Raiders,3.0,,1.0,2.0,,,,,,,,,,,1.0,,15.0
Nick Bosa DL - SF,Nick Bosa,DL,SF,NYG,Magic Eulers,2.0,1.0,1.0,1.0,,,,,,,,,,,2.0,,14.5
Alim McNeill DL - DET,Alim McNeill,DL,DET,ATL,W (Oct 4),2.0,1.0,1.0,1.0,,,,,,,,,,,2.0,,14.5
Maxx Crosby DL - LV Q View News,Maxx Crosby,DL,LV,PIT,Bad Wildcats Hunschat,1.0,2.0,1.0,1.0,,,,,,,,,,,2.0,,14.0
Javon Hargrave DL - SF,Javon Hargrave,DL,SF,NYG,Wbn Beasts,1.0,2.0,1.0,1.0,,,,,,,,,,,2.0,,14.0
B.J. Hill DL - CIN,B.J. Hill,DL,CIN,LA,FA,2.0,,1.0,1.0,,,,,,,,,,,2.0,,14.0
Kenny Clark DL - GB,Kenny Clark,DL,GB,NO,W (Oct 4),3.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,13.5
Alex Wright DL - CLE,Alex Wright,DL,CLE,TEN,FA,3.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,13.5
Michael Danna DL - KC,Michael Danna,DL,KC,CHI,FA,3.0,,1.0,1.0,,,,,,,,,,,1.0,,13.0
Christian Barmore DL - NE Q,Christian Barmore,DL,NE,@NYJ,FA,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,12.5
Jalen Carter DL - PHI,Jalen Carter,DL,PHI,@TB,FA,1.0,1.0,0.5,,,2.0,,,,,,,,,1.0,,12.5
Yetur Gross-Matos DL - CAR,Yetur,Gross,Matos,@SEA,FA,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,12.5
D.J. Reader DL - CIN,D.J. Reader,DL,CIN,LA,FA,2.0,,1.0,1.0,,,,,,,,,,,1.0,,12.0
Greg Rousseau DL - BUF,Greg Rousseau,DL,BUF,@WAS,Alta Villa Cardinals,2.0,,1.0,1.0,,,,,,,,,,,1.0,,12.0
Leonard Williams DL - NYG,Leonard Williams,DL,NYG,@SF,FA,4.0,2.0,0.5,,,,,,,,,,,,2.0,,12.0
Benito Jones DL - DET,Benito Jones,DL,DET,ATL,W (Oct 4),1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,11.5
Marlon Tuipulotu DL - PHI,Marlon Tuipulotu,DL,PHI,@TB,FA,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,11.5
Keeanu Benton DL - PIT,Keeanu Benton,DL,PIT,@LV,FA,1.0,,1.0,1.0,,,,,,,,,,,1.0,,11.0
Grady Jarrett DL - ATL,Grady Jarrett,DL,ATL,@DET,dirty birds,2.0,2.0,,1.0,,,,,,,,,,,3.0,,11.0
Chris Jones DL - KC,Chris Jones,DL,KC,CHI,FlyRamsFly,1.0,,1.0,1.0,,,,,,,,,,,1.0,,11.0
Taven Bryan DL - IND,Taven Bryan,DL,IND,@BAL,FA,1.0,1.0,1.0,,,1.0,,,,,,,,,,,10.5
