Player,Name,Position,Team,Opp,Manager,PAT_Made,PAT_Miss,FG Made_0-19,FG Made_20-29,FG Made_30-39,FG Made_40-49,FG Made_50+,FG Miss_0-19,FG Miss_20-29,FG Miss_30-39,FG Miss_40-49,Fantasy_Points
Tyler Bass K - BUF,Tyler Bass,K,BUF,MIA,Washington Fantasy Team,6.0,,,,1.0,,1.0,,,,,20.0
Jake Elliott K - PHI,Jake Elliott,K,PHI,WAS,Bad Wildcats Hunschat,2.0,,,,1.0,2.0,1.0,,,,,20.0
Brett Maher K - LA,Brett Maher,K,LA,@IND,FlyRamsFly,2.0,,,,,1.0,2.0,,,,2.0,16.0
Brandon McManus K - JAX,Brandon McManus,K,JAX,ATL,FA,2.0,,,,1.0,1.0,1.0,,,,,16.0
Ka'imi Fairbairn K - HOU,Ka'imi Fairbairn,K,HOU,PIT,FA,3.0,,,,3.0,,,,,,,15.0
Nick Folk K - TEN,Nick Folk,K,TEN,CIN,FA,3.0,,,,1.0,,1.0,,,,,14.0
Riley Patterson K - DET,Riley Patterson,K,DET,@GB,Koblenz 87ers,4.0,,,,2.0,,,,,,,14.0
Brandon Aubrey K - DAL,Brandon Aubrey,K,DAL,NE,FA,3.0,,,2.0,1.0,,,,,,,13.0
Wil Lutz K - DEN,Wil Lutz,K,DEN,@CHI,FA,4.0,,,,,,1.0,,,,,13.0
Harrison Butker K - KC,Harrison Butker,K,KC,@NYJ,Boppard Raiders,2.0,,,1.0,2.0,,,,,,,12.0
Chase McLaughlin K - TB,Chase McLaughlin,K,TB,@NO,FA,2.0,,,1.0,,,1.0,,,,,11.0
Cameron Dicker K - LAC,Cameron Dicker,K,LAC,LV,FA,3.0,,,,1.0,,,,,,,10.0
Blake Grupe K - NO,Blake Grupe,K,NO,TB,FA,,,,,2.0,1.0,,,,,,10.0
Jake Moody K - SF,Jake Moody,K,SF,ARI,Magic Eulers,5.0,,,,,,,,,,,10.0
Joey Slye K - WAS,Joey Slye,K,WAS,@PHI,W (Oct 11),4.0,,,1.0,,,,,,,,10.0
Jason Myers K - SEA,Jason Myers,K,SEA,@NYG,Slay,3.0,,,,1.0,,,,,,,9.0
Eddy Pineiro K - CAR,Eddy Pineiro,K,CAR,MIN,Slay,1.0,,,1.0,,,1.0,,,,,9.0
Anders Carlson K - GB,Anders Carlson,K,GB,DET,FA,,,,,1.0,,1.0,,,,,8.0
Cairo Santos K - CHI,Cairo Santos,K,CHI,DEN,W (Oct 11),4.0,,,,,,,,,,,8.0
Justin Tucker K - BAL,Justin Tucker,K,BAL,@CLE,dirty birds,4.0,,,,,,,,,,,8.0
Daniel Carlson K - LV,Daniel Carlson,K,LV,@LAC,Wbn Beasts,2.0,,,1.0,,,,,,,,6.0
Greg Joseph K - MIN,Greg Joseph,K,MIN,@CAR,Wbn Beasts,3.0,,,,,,,,,,,6.0
Chris Boswell K - PIT,Chris Boswell,K,PIT,@HOU,FA,,,,1.0,1.0,,,,,,,5.0
Graham Gano K - NYG,Graham Gano,K,NYG,SEA,FA,,,,,,,1.0,,,,,5.0
Dustin Hopkins K - CLE,Dustin Hopkins,K,CLE,BAL,FA,,,,,,,1.0,,,,,5.0
Greg Zuerlein K - NYJ,Greg Zuerlein,K,NYJ,KC,GLADIATORS of NORSCHT,1.0,,,,1.0,,,,,,,5.0
Jason Sanders K - MIA,Jason Sanders,K,MIA,@BUF,dirty birds,2.0,,,,,,,,,,,4.0
Younghoe Koo K - ATL,Younghoe Koo,K,ATL,@JAX,FA,1.0,,,,,,,,,,,2.0
Evan McPherson K - CIN,Evan McPherson,K,CIN,@TEN,St Quintin Heidschnucken,,,,1.0,,,,,,,,2.0
