Player,Name,Position,Team,Opp,Manager,PAT_Made,PAT_Miss,FG Made_0-19,FG Made_20-29,FG Made_30-39,FG Made_40-49,FG Made_50+,FG Miss_0-19,FG Miss_20-29,FG Miss_30-39,FG Miss_40-49,Fantasy_Points
Brandon Aubrey K - DAL,Brandon Aubrey,K,DAL,NYJ,FA,1.0,,,2.0,2.0,,1.0,,,,,17.0
Jake Elliott K - PHI,Jake Elliott,K,PHI,MIN,FA,4.0,,,1.0,,,1.0,,,,,15.0
Brett Maher K - LA,Brett Maher,K,LA,SF,FlyRamsFly,2.0,,,,1.0,2.0,,,,,,15.0
Jake Moody K - SF,Jake Moody,K,SF,@LA,Magic Eulers,3.0,,,2.0,,,1.0,,,,,15.0
Chris Boswell K - PIT,Chris Boswell,K,PIT,CLE,FA,2.0,,,,,,2.0,,,,,14.0
Justin Tucker K - BAL,Justin Tucker,K,BAL,@CIN,dirty birds,3.0,,,,,2.0,,,,,,14.0
Nick Folk K - TEN,Nick Folk,K,TEN,LAC,FA,3.0,,,,1.0,1.0,,,,,,13.0
Eddy Pineiro K - CAR,Eddy Pineiro,K,CAR,NO,Slay,,,,,1.0,,2.0,,,,,13.0
Joey Slye K - WAS,Joey Slye,K,WAS,@DEN,FA,3.0,,,,,2.0,,,,,1.0,13.0
Tyler Bass K - BUF,Tyler Bass,K,BUF,LV,Washington Fantasy Team,5.0,,,1.0,,,,,,,,12.0
Matt Gay K - IND,Matt Gay,K,IND,@HOU,FA,4.0,,,,,1.0,,,,,,12.0
Wil Lutz K - DEN,Wil Lutz,K,DEN,WAS,FA,3.0,,,,2.0,,,,,,,12.0
Graham Gano K - NYG,Graham Gano,K,NYG,@ARI,Bad Wildcats Hunschat,4.0,,,,1.0,,,,,,,11.0
Riley Patterson K - DET View News,Riley Patterson,K,DET,SEA,Koblenz 87ers,4.0,,,,1.0,,,,,,,11.0
Matt Prater K - ARI,Matt Prater,K,ARI,NYG,Alta Villa Cardinals,2.0,,,,1.0,1.0,,,,,,11.0
Cameron Dicker K - LAC,Cameron Dicker,K,LAC,@TEN,FA,1.0,,,1.0,2.0,,,,,,,10.0
Anders Carlson K - GB View News,Anders Carlson,K,GB,@ATL,W (Oct 4),3.0,,,,1.0,,,,,,,9.0
Ka'imi Fairbairn K - HOU,Ka'imi Fairbairn,K,HOU,IND,FA,2.0,,,1.0,1.0,,,,,,,9.0
Younghoe Koo K - ATL,Younghoe Koo,K,ATL,GB,FA,1.0,1.0,,2.0,2.0,,,,,,,9.0
Chase McLaughlin K - TB,Chase McLaughlin,K,TB,CHI,FA,3.0,,,2.0,,,,,,,1.0,9.0
Brandon McManus K - JAX,Brandon McManus,K,JAX,KC,FA,,,,1.0,1.0,1.0,,,,,,9.0
Jason Myers K - SEA,Jason Myers,K,SEA,@DET,Slay,4.0,,,1.0,,,,,,,1.0,9.0
Cairo Santos K - CHI,Cairo Santos,K,CHI,@TB,FA,2.0,,,,,,1.0,,,,,9.0
Blake Grupe K - NO,Blake Grupe,K,NO,@CAR,FA,2.0,,,2.0,,,,,,,,8.0
Dustin Hopkins K - CLE,Dustin Hopkins,K,CLE,@PIT,FA,,,,,,1.0,1.0,,,,1.0,8.0
Evan McPherson K - CIN,Evan McPherson,K,CIN,BAL,St Quintin Heidschnucken,3.0,,,1.0,,,,,,,,8.0
Chad Ryland K - NE,Chad Ryland,K,NE,MIA,FA,2.0,,,,,1.0,,,,,,8.0
Harrison Butker K - KC,Harrison Butker,K,KC,@JAX,Boppard Raiders,2.0,,,,1.0,,,,,,,7.0
Daniel Carlson K - LV,Daniel Carlson,K,LV,@BUF,Wbn Beasts,1.0,,,,,1.0,,,,,,7.0
Jason Sanders K - MIA,Jason Sanders,K,MIA,@NE,dirty birds,3.0,,,1.0,,,,,,,1.0,7.0
Austin Seibert K - NYJ,Austin Seibert,K,NYJ,@DAL,FA,1.0,,,,1.0,,,,,,,5.0
Mike Badgley K - DET,Mike Badgley,K,DET,SEA,W (Oct 4),,,,,,,,,,,,0.0
Rodrigo Blankenship K,Rodrigo Blankenship,K,,Bye,FA,,,,,,,,,,,,0.0
Tanner Brown K,Tanner Brown,K,,Bye,FA,,,,,,,,,,,,0.0
Randy Bullock K,Randy Bullock,K,,Bye,FA,,,,,,,,,,,,0.0
Mason Crosby K,Mason Crosby,K,,Bye,FA,,,,,,,,,,,,0.0
Christopher Dunn K,Christopher Dunn,K,,Bye,FA,,,,,,,,,,,,0.0
Elliott Fry K,Elliott Fry,K,,Bye,FA,,,,,,,,,,,,0.0
Zane Gonzalez K Q,Zane Gonzalez K,Q,,Bye,FA,,,,,,,,,,,,0.0
Robbie Gould K,Robbie Gould,K,,Bye,FA,,,,,,,,,,,,0.0
Stephen Hauschka K,Stephen Hauschka,K,,Bye,FA,,,,,,,,,,,,0.0
Lucas Havrisik K - CLE,Lucas Havrisik,K,CLE,@PIT,FA,,,,,,,,,,,,0.0
Josh Lambo K,Josh Lambo,K,,Bye,FA,,,,,,,,,,,,0.0
James McCourt K,James McCourt,K,,Bye,FA,,,,,,,,,,,,0.0
Jack Podlesny K,Jack Podlesny,K,,Bye,FA,,,,,,,,,,,,0.0
B.T. Potter K,B.T. Potter,K,,Bye,FA,,,,,,,,,,,,0.0
Alex Quevedo K,Alex Quevedo,K,,Bye,FA,,,,,,,,,,,,0.0
John Parker Romo K - CHI,John Parker Romo,K,CHI,@TB,FA,,,,,,,,,,,,0.0
Caleb Shudak K,Caleb Shudak,K,,Bye,FA,,,,,,,,,,,,0.0
Ryan Succop K,Ryan Succop,K,,Bye,FA,,,,,,,,,,,,0.0
Giorgio Tavecchio K,Giorgio Tavecchio,K,,Bye,FA,,,,,,,,,,,,0.0
Matthew Trickett K,Matthew Trickett,K,,Bye,FA,,,,,,,,,,,,0.0
Jake Verity K,Jake Verity,K,,Bye,FA,,,,,,,,,,,,0.0
Tristan Vizcaino K,Tristan Vizcaino,K,,Bye,FA,,,,,,,,,,,,0.0
Parker White K,Parker White,K,,Bye,FA,,,,,,,,,,,,0.0
Trey Wolff K,Trey Wolff,K,,Bye,FA,,,,,,,,,,,,0.0
Cade York K - TEN,Cade York,K,TEN,LAC,FA,,,,,,,,,,,,0.0
Greg Zuerlein K - NYJ,Greg Zuerlein,K,NYJ,@DAL,GLADIATORS of NORSCHT,,,,,,,,,,,,0.0
