Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Jonathan Greenard DL - HOU,Jonathan Greenard,DL,HOU,PIT,FA,4.0,1.0,2.0,3.0,,,,,,,,,,,3.0,,38.5
Maxx Crosby DL - LV View News,Maxx Crosby,DL,LV,@LAC,Bad Wildcats Hunschat,5.0,3.0,2.0,2.0,,,,,,,,,,,2.0,,36.5
Greg Rousseau DL - BUF O,Greg Rousseau,DL,BUF,MIA,Alta Villa Cardinals,3.0,,2.0,2.0,,,,,,,,,,1.0,2.0,,34.0
Vita Vea DL - TB,Vita Vea,DL,TB,@NO,FA,2.0,1.0,2.0,1.0,,1.0,,,,,,,,,2.0,,33.5
Dayo Odeyingbo DL - IND,Dayo Odeyingbo,DL,IND,LA,FA,5.0,2.0,1.5,1.0,,1.0,,,,,,,,1.0,4.0,,29.0
D.J. Wonnum DL - MIN,D.J. Wonnum,DL,MIN,@CAR,FA,4.0,2.0,1.0,1.0,,,1.0,,1.0,,,,,1.0,2.0,,27.0
Aaron Donald DL - LA,Aaron Donald,DL,LA,@IND,Washington Fantasy Team,3.0,2.0,1.0,3.0,,,,,,,,,,,2.0,,20.0
David Onyemata DL - ATL,David Onyemata,DL,ATL,@JAX,FA,2.0,5.0,1.5,1.0,,,,,,,,,,,2.0,,19.5
Aidan Hutchinson DL - DET,Aidan Hutchinson,DL,DET,@GB,Washington Fantasy Team,1.0,1.0,1.5,1.0,,,,,,,,,,,3.0,,18.5
Yetur Gross-Matos DL - CAR,Yetur,Gross,Matos,MIN,FA,4.0,,1.0,2.0,,,,,,,,,,,2.0,,18.0
Bryan Bresee DL - NO,Bryan Bresee,DL,NO,TB,FA,3.0,1.0,1.0,3.0,,,,,,,,,,,1.0,,17.5
Mario Edwards DL - SEA,Mario Edwards,DL,SEA,@NYG,FA,2.0,1.0,1.0,,,1.0,,,,,,,,1.0,2.0,,16.5
Sam Hubbard DL - CIN,Sam Hubbard,DL,CIN,@TEN,FlyRamsFly,4.0,,1.0,1.0,,,,,,,,,,,2.0,,16.0
Alim McNeill DL - DET,Alim McNeill,DL,DET,@GB,FA,2.0,,1.0,2.0,,,,,,,,,,,2.0,,16.0
Myles Garrett DL - CLE Q,Myles Garrett,DL,CLE,BAL,St Quintin Heidschnucken,1.0,1.0,1.0,1.0,,,,,,,,,,,3.0,,15.5
