Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Kyle Hamilton DB - BAL Q View News,Kyle Hamilton,DB,BAL,IND,Koblenz 87ers,7.0,2.0,3.0,2.0,,1.0,,,,,,,,1.0,3.0,,50.0
Alontae Taylor DB - NO,Alontae Taylor,DB,NO,@GB,FA,5.0,,1.0,2.0,,,,,,,,,,5.0,1.0,,32.0
Brian Branch DB - DET Q View News,Brian Branch,DB,DET,ATL,FlyRamsFly,11.0,,,3.0,,,,,,,,,,2.0,,,29.0
Levi Wallace DB - PIT,Levi Wallace,DB,PIT,@LV,FA,4.0,2.0,,,2.0,,,,,,,,,4.0,,,25.0
Delarrin Turner-Yell DB - DEN,Delarrin,Turner,Yell,@MIA,FA,10.0,3.0,,,,,,,,,,,,,,,21.5
Kendall Fuller DB - WAS,Kendall Fuller,DB,WAS,BUF,FA,2.0,6.0,,,1.0,,,,,,,,,3.0,,,21.0
Amani Hooker DB - TEN,Amani Hooker,DB,TEN,@CLE,Slay,9.0,2.0,,,,,,,,,,,,,,,20.0
Daxton Hill DB - CIN,Daxton Hill,DB,CIN,LA,Magic Eulers,7.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,19.5
Isaac Yiadom DB - NO,Isaac Yiadom,DB,NO,@GB,FA,3.0,3.0,,,,,,,,,,,,4.0,,,18.5
Jevon Holland DB - MIA,Jevon Holland,DB,MIA,DEN,GLADIATORS of NORSCHT,7.0,1.0,,,,3.0,,,,,,,,1.0,,,17.5
Roger McCreary DB - TEN,Roger McCreary,DB,TEN,@CLE,FA,5.0,5.0,1.0,1.0,,,,,,,,,,,1.0,,17.5
Jessie Bates DB - ATL,Jessie Bates,DB,ATL,@DET,Alta Villa Cardinals,6.0,5.0,,,1.0,,,,,,,,,1.0,,,12.5
Reed Blankenship DB - PHI,Reed Blankenship,DB,PHI,@TB,Alta Villa Cardinals,6.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,12.5
Akayleb Evans DB - MIN,Akayleb Evans,DB,MIN,LAC,FA,7.0,4.0,,,,1.0,,,,,,,,,,,12.0
Sean Murphy-Bunting DB - TEN,Sean,Murphy,Bunting,@CLE,GLADIATORS of NORSCHT,6.0,,,,,1.0,1.0,,,,,,,,,,12.0
Byron Murphy DB - MIN View News,Byron Murphy,DB,MIN,LAC,FA,9.0,1.0,,,,,,,,,,,,2.0,,,11.5
Terell Smith DB - CHI,Terell Smith,DB,CHI,@KC,FA,7.0,3.0,,1.0,,,,,,,,,,1.0,,,11.5
Brandon Stephens DB - BAL,Brandon Stephens,DB,BAL,IND,FA,8.0,3.0,,,,,,,,,,,,2.0,,,11.5
Devon Witherspoon DB - SEA,Devon Witherspoon,DB,SEA,CAR,FA,8.0,3.0,,,,,,,,,,,,2.0,,,11.5
Julian Blackmon DB - IND,Julian Blackmon,DB,IND,@BAL,FA,6.0,6.0,,1.0,,,,,,,,,,,,,11.0
Kei'Trel Clark DB - ARI,Kei'Trel Clark,DB,ARI,DAL,FA,8.0,2.0,,,,,,,,,,,,2.0,,,11.0
Alohi Gilman DB - LAC Q View News,Alohi Gilman,DB,LAC,@MIN,Washington Fantasy Team,3.0,2.0,,,,1.0,1.0,,,,,,,1.0,,,11.0
Ryan Neal DB - TB,Ryan Neal,DB,TB,PHI,Magic Eulers,6.0,5.0,,1.0,,,,,,,,,,,,,10.5
Jordan Whitehead DB - NYJ,Jordan Whitehead,DB,NYJ,NE,St Quintin Heidschnucken,9.0,1.0,,,,,,,,,,,,1.0,,,10.5
Julius Brents DB - IND,Julius Brents,DB,IND,@BAL,FA,4.0,,,,,1.0,1.0,,,,,,,,,,10.0
Jabrill Peppers DB - NE,Jabrill Peppers,DB,NE,@NYJ,FA,6.0,1.0,,1.0,,,,,,,,,,,,,9.75
Michael Davis DB - LAC,Michael Davis,DB,LAC,@MIN,FA,8.0,,,,,,,,,,,,,1.0,,,9.0
Kyle Dugger DB - NE,Kyle Dugger,DB,NE,@NYJ,Magic Eulers,5.0,2.0,,1.0,,,,,,,,,,1.0,,,9.0
Minkah Fitzpatrick DB - PIT,Minkah Fitzpatrick,DB,PIT,@LV,Washington Fantasy Team,7.0,4.0,,,,,,,,,,,,,,,9.0
Camryn Bynum DB - MIN,Camryn Bynum,DB,MIN,LAC,Washington Fantasy Team,5.0,1.0,,1.0,,,,,,,,,,1.0,,,8.5
Rudy Ford DB - GB,Rudy Ford,DB,GB,NO,W (Oct 4),6.0,1.0,,,,,,,,,,,,2.0,,,8.5
Shaquill Griffin DB - HOU,Shaquill Griffin,DB,HOU,@JAX,FA,7.0,3.0,,,,,,,,,,,,,,,8.5
Rayshawn Jenkins DB - JAX,Rayshawn Jenkins,DB,JAX,HOU,Slay,6.0,1.0,,1.0,,,,,,,,,,,,,8.5
Patrick Peterson DB - PIT,Patrick Peterson,DB,PIT,@LV,FA,4.0,1.0,,,1.0,,,,,,,,,1.0,,,8.5
Vonn Bell DB - CAR,Vonn Bell,DB,CAR,@SEA,St Quintin Heidschnucken,8.0,,,,,,,,,,,,,,,,8.0
Richie Grant DB - ATL,Richie Grant,DB,ATL,@DET,dirty birds,2.0,4.0,,,,,,,,,,,,,2.0,,8.0
Asante Samuel Jr. DB - LAC,Asante Samuel Jr.,DB,LAC,@MIN,FA,6.0,,,,,,,,,,,,,2.0,,,8.0
Antoine Winfield Jr. DB - TB,Antoine Winfield Jr.,DB,TB,PHI,Koblenz 87ers,5.0,6.0,,,,,,,,,,,,,,,8.0
Mike Edwards DB - KC,Mike Edwards,DB,KC,CHI,FA,,1.0,,,1.0,,,,,,,,,1.0,,16.0,7.7
Adrian Amos DB - NYJ,Adrian Amos,DB,NYJ,NE,FA,6.0,1.0,,,,,,,,,,,,1.0,,,7.5
Taron Johnson DB - BUF,Taron Johnson,DB,BUF,@WAS,FA,4.0,1.0,,,,1.0,,,,,,,,,,,7.5
Jaylon Jones DB - CHI,Jaylon Jones,DB,CHI,@KC,FA,5.0,1.0,,1.0,,,,,,,,,,,,,7.5
Marcus Peters DB - LV,Marcus Peters,DB,LV,PIT,FA,5.0,1.0,,1.0,,,,,,,,,,,,,7.5
Jalen Thompson DB - ARI,Jalen Thompson,DB,ARI,DAL,dirty birds,5.0,3.0,,,,,,,,,,,,1.0,,,7.5
