Player,Name,Position,Team,Opp,Manager,PAT_Made,PAT_Miss,FG Made_0-19,FG Made_20-29,FG Made_30-39,FG Made_40-49,FG Made_50+,FG Miss_0-19,FG Miss_20-29,FG Miss_30-39,FG Miss_40-49,Fantasy_Points
Brett Maher K - LA,Brett Maher,K,LA,@SEA,FlyRamsFly,3.0,,,,1.0,1.0,1.0,,,,,18.0
Jake Moody K - SF,Jake Moody,K,SF,@PIT,Magic Eulers,3.0,,,,1.0,2.0,,,,,,17.0
Jake Elliott K - PHI,Jake Elliott,K,PHI,@NE,FA,1.0,1.0,,,1.0,1.0,2.0,,,,,16.0
Nick Folk K - TEN,Nick Folk,K,TEN,@NO,FA,,,,2.0,1.0,1.0,1.0,,,,,16.0
Anders Carlson K - GB View News,Anders Carlson,K,GB,@CHI,W (Oct 4),5.0,,,,,,1.0,,,,,15.0
Cameron Dicker K - LAC,Cameron Dicker,K,LAC,MIA,FA,4.0,,,1.0,,,1.0,,,,,15.0
Tyler Bass K - BUF,Tyler Bass,K,BUF,@NYJ,Washington Fantasy Team,1.0,,,,1.0,1.0,1.0,,,,,14.0
Dustin Hopkins K - CLE,Dustin Hopkins,K,CLE,CIN,FA,1.0,,,,1.0,2.0,,,,,,14.0
Jason Sanders K - MIA,Jason Sanders,K,MIA,@LAC,dirty birds,3.0,1.0,,1.0,,2.0,,,,,,13.0
Blake Grupe K - NO,Blake Grupe,K,NO,TEN,FA,1.0,,,1.0,1.0,,1.0,,,,,12.0
Chase McLaughlin K - TB,Chase McLaughlin,K,TB,@MIN,FA,2.0,,,,1.0,,1.0,,,,,12.0
Brandon McManus K - JAX,Brandon McManus,K,JAX,@IND,FA,4.0,,,,,1.0,,,,,,12.0
Matt Prater K - ARI,Matt Prater,K,ARI,@WAS,Alta Villa Cardinals,1.0,,,1.0,1.0,,1.0,,,,,12.0
Greg Zuerlein K - NYJ,Greg Zuerlein,K,NYJ,BUF,GLADIATORS of NORSCHT,1.0,,,1.0,1.0,1.0,,,,,,11.0
Brandon Aubrey K - DAL,Brandon Aubrey,K,DAL,@NYG,FA,4.0,1.0,,1.0,1.0,,,,,,,10.0
Harrison Butker K - KC,Harrison Butker,K,KC,DET,Boppard Raiders,2.0,,,,2.0,,,,,,,10.0
Younghoe Koo K - ATL,Younghoe Koo,K,ATL,CAR,FA,3.0,,,,,1.0,,,,,,10.0
Joey Slye K - WAS,Joey Slye,K,WAS,ARI,FA,2.0,,,,2.0,,,,,,,10.0
Ka'imi Fairbairn K - HOU,Ka'imi Fairbairn,K,HOU,@BAL,FA,,,,,3.0,,,,,,,9.0
Jason Myers K - SEA,Jason Myers,K,SEA,LA,Slay,1.0,,,,1.0,1.0,,,,1.0,,7.0
Justin Tucker K - BAL,Justin Tucker,K,BAL,HOU,dirty birds,2.0,,,,1.0,,,,,,,7.0
Daniel Carlson K - LV,Daniel Carlson,K,LV,@DEN,Wbn Beasts,2.0,,,1.0,,,,,,,,6.0
Matt Gay K - IND,Matt Gay,K,IND,JAX,FA,3.0,,,,,,,,,,,6.0
Greg Joseph K - MIN,Greg Joseph,K,MIN,TB,Wbn Beasts,2.0,,,1.0,,,,,,,,6.0
Riley Patterson K - DET View News,Riley Patterson,K,DET,@KC,Koblenz 87ers,3.0,,,,,,,,,,,6.0
Cairo Santos K - CHI,Cairo Santos,K,CHI,GB,FA,,,,1.0,,1.0,,,,,,6.0
Evan McPherson K - CIN,Evan McPherson,K,CIN,@CLE,St Quintin Heidschnucken,,,,,,1.0,,,,,,4.0
Chad Ryland K - NE,Chad Ryland,K,NE,PHI,FA,2.0,,,,,,,,,,,4.0
Chris Boswell K - PIT,Chris Boswell,K,PIT,SF,FA,1.0,,,,,,,,,,,2.0
Wil Lutz K - DEN,Wil Lutz,K,DEN,LV,FA,1.0,1.0,,1.0,,,,,,,,1.0
Mike Badgley K - DET,Mike Badgley,K,DET,@KC,W (Oct 4),,,,,,,,,,,,0.0
Rodrigo Blankenship K,Rodrigo Blankenship,K,,Bye,FA,,,,,,,,,,,,0.0
Tanner Brown K,Tanner Brown,K,,Bye,FA,,,,,,,,,,,,0.0
Randy Bullock K,Randy Bullock,K,,Bye,FA,,,,,,,,,,,,0.0
Mason Crosby K,Mason Crosby,K,,Bye,FA,,,,,,,,,,,,0.0
Christopher Dunn K,Christopher Dunn,K,,Bye,FA,,,,,,,,,,,,0.0
Elliott Fry K,Elliott Fry,K,,Bye,FA,,,,,,,,,,,,0.0
Zane Gonzalez K Q,Zane Gonzalez K,Q,,Bye,FA,,,,,,,,,,,,0.0
Robbie Gould K,Robbie Gould,K,,Bye,FA,,,,,,,,,,,,0.0
Stephen Hauschka K,Stephen Hauschka,K,,Bye,FA,,,,,,,,,,,,0.0
Lucas Havrisik K - CLE,Lucas Havrisik,K,CLE,CIN,FA,,,,,,,,,,,,0.0
Josh Lambo K,Josh Lambo,K,,Bye,FA,,,,,,,,,,,,0.0
James McCourt K,James McCourt,K,,Bye,FA,,,,,,,,,,,,0.0
Jack Podlesny K,Jack Podlesny,K,,Bye,FA,,,,,,,,,,,,0.0
