Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Israel Abanikanda RB - NYJ,Israel Abanikanda,RB,NYJ,Bye,FA,,,,,,,,,,,,,,,,0.0
Ameer Abdullah RB - LV,Ameer Abdullah,RB,LV,ARI,FA,,,,,,,1.0,23.0,,,,,,,,0.0
De'Von Achane RB - MIA,De'Von Achane,RB,MIA,Bye,Boppard Raiders,,,,,,,,,,,,,,,,0.0
Salvon Ahmed RB - MIA Q View News,Salvon Ahmed,RB,MIA,@BAL,FA,,,,,,,,,,,,,,,,0.0
Cam Akers RB - MIN,Cam Akers,RB,MIN,ATL,FA,,,,,44.0,,2.0,18.0,,,,,,,,0.0
Tyler Allgeier RB - ATL,Tyler Allgeier,RB,ATL,@LA,FlyRamsFly,,,,,30.0,,,,,,,,,,,0.0
Darius Anderson RB Q,Darius Anderson RB,Q,,@DEN,FA,,,,,,,,,,,,,,,,0.0
Alex Armah RB - WAS,Alex Armah,RB,WAS,@DET,FA,,,,,,,,,,,,,,,,0.0
Ronald Awatt RB,Ronald Awatt,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Tyler Badie RB - DEN,Tyler Badie,RB,DEN,HOU,FA,,,,,,,,,,,,,,,,0.0
Saquon Barkley RB - NYG Q View News,Saquon Barkley,RB,NYG,CAR,Washington Fantasy Team,,,,,72.0,,3.0,16.0,,,,,,,,0.0
Nick Bawden RB - NYJ,Nick Bawden,RB,NYJ,@CLE,FA,,,,,,,,,,,,,,,,0.0
B.J. Baylor RB,B.J. Baylor,RB,,@LA,FA,,,,,,,,,,,,,,,,0.0
Greg Bell RB - PIT,Greg Bell,RB,PIT,Bye,FA,,,,,,,,,,,,,,,,0.0
Nick Bellore RB - SEA,Nick Bellore,RB,SEA,@SF,FA,,,,,,,,,,,,,,,,0.0
Eno Benjamin RB - NO IR,Eno Benjamin,RB,NO,TB,FA,,,,,31.0,,3.0,20.0,,40.0,,,,,,0.0
Tank Bigsby RB - JAX,Tank Bigsby,RB,JAX,Bye,FA,,,,,,,,,,,,,,,,0.0
Raheem Blackshear RB - CAR,Raheem Blackshear,RB,CAR,@NYG,FA,,,,,,,,,,,,,,,,0.0
Khari Blasingame RB - CHI,Khari Blasingame,RB,CHI,@GB,FA,,,,,,,,,,,,,,,,0.0
Brandon Bolden RB - LV,Brandon Bolden,RB,LV,ARI,FA,,,,,,,,,,,,,,,,0.0
Mike Boone RB - HOU,Mike Boone,RB,HOU,@DEN,FA,,,,,,,,,,,,,,,,0.0
Matt Breida RB - NYG,Matt Breida,RB,NYG,CAR,Alta Villa Cardinals,,,,,,,,,,,,,,,,0.0
Gary Brightwell RB - NYG,Gary Brightwell,RB,NYG,CAR,FA,,,,,14.0,,,,,,,,,,,0.0
Christopher Brooks RB - MIA,Christopher Brooks,RB,MIA,Bye,FA,,,,,,,,,,,,,,,,0.0
Kennedy Brooks RB,Kennedy Brooks,RB,,MIN,FA,,,,,,,,,,,,,,,,0.0
Chase Brown RB - CIN,Chase Brown,RB,CIN,Bye,FA,,,,,,,,,,,,,,,,0.0
Ronnie Brown RB,Ronnie Brown,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Spencer Brown RB,Spencer Brown,RB,,@NYG,FA,,,,,,,,,,,,,,,,0.0
Robert Burns RB - CHI,Robert Burns,RB,CHI,Bye,FA,,,,,,,,,,,,,,,,0.0
Michael Burton RB - DEN,Michael Burton,RB,DEN,HOU,FA,,,,,6.0,,1.0,2.0,,,,,,,,0.0
Jason Cabinda RB - DET IA,Jason Cabinda,RB,DET,WAS,W (Oct 4),,,,,,,,,,,,,,,,0.0
Michael Carter RB - NYJ,Michael Carter,RB,NYJ,@CLE,FA,,,,,23.0,,5.0,27.0,,,,,,,,0.0
Ty Chandler RB - MIN,Ty Chandler,RB,MIN,@PHI,FA,,,,,,,,,,,,,,,,0.0
Zach Charbonnet RB - SEA,Zach Charbonnet,RB,SEA,Bye,Boppard Raiders,,,,,,,,,,,,,,,,0.0
Julius Chestnut RB - TEN IR,Julius Chestnut,RB,TEN,@BUF,FA,,,,,,,,,,,,,,,,0.0
Nick Chubb RB - CLE IR,Nick Chubb,RB,CLE,NYJ,FA,,,,,87.0,3.0,3.0,26.0,,,,,,,,0.0
Corey Clement RB - ARI,Corey Clement,RB,ARI,Bye,FA,,,,,,,,,,,,,,,,0.0
Jack Colletto RB - SF,Jack Colletto,RB,SF,Bye,FA,,,,,,,,,,,,,,,,0.0
James Conner RB - ARI,James Conner,RB,ARI,@LV,Bad Wildcats Hunschat,,,,,25.0,,2.0,26.0,,,,,,,,0.0
Snoop Conner RB - JAX,Snoop Conner,RB,JAX,IND,FA,,,,,,,,,,,,,,,,0.0
