Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Nate Adkins TE - DEN,Nate Adkins,TE,DEN,Bye,FA,,,,,,,,,,,,,,,,0.0
Jordan Akins TE - CLE,Jordan Akins,TE,CLE,CIN,FA,,,,,,,1.0,5.0,,,,,,,,0.0
Mo Alie-Cox TE - IND,Mo,Alie,Cox,WAS,FA,,,,,,,,,,,,,,,,0.0
Austin Allen TE,Austin Allen,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Chase Allen TE Q,Chase Allen TE,Q,,@DAL,FA,,,,,,,,,,,,,,,,0.0
Davis Allen TE - LA,Davis Allen,TE,LA,Bye,FA,,,,,,,,,,,,,,,,0.0
Mark Andrews TE - BAL,Mark Andrews,TE,BAL,@TB,Slay,,,,,,,3.0,33.0,,,,,,,,0.0
J.J. Arcega-Whiteside TE,J.J.,Arcega,Whiteside,Bye,FA,,,,,,,,,,,,,,,,0.0
Dan Arnold TE,Dan Arnold,TE,,DEN,FA,,,,,,,,,,,,,,,,0.0
Devin Asiasi TE - CLE,Devin Asiasi,TE,CLE,@CLE,FA,,,,,,,,,,,,,,,,0.0
John Bates TE - WAS,John Bates,TE,WAS,@IND,FA,,,,,,,1.0,6.0,,,,,,,,0.0
Andrew Beck TE - HOU,Andrew Beck,TE,HOU,TEN,FA,,,,,,,,,,,,,,,,0.0
Blake Bell TE - KC,Blake Bell,TE,KC,Bye,FA,,,,,,,,,,,,,,,,0.0
Daniel Bellinger TE - NYG Q View News,Daniel Bellinger,TE,NYG,@SEA,FA,,,,,,,,,,,,,,,,0.0
Kendall Blanton TE,Kendall Blanton,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Nick Bowers TE - MIA,Nick Bowers,TE,MIA,@CLE,FA,,,,,,,,,,,,,,,,0.0
Pharaoh Brown TE - NE,Pharaoh Brown,TE,NE,WAS,FA,,,,,,,,,,,,,,,,0.0
Harrison Bryant TE - CLE,Harrison Bryant,TE,CLE,CIN,FA,,,,,,,,,,,,,,,,0.0
Matt Bushman TE - KC,Matt Bushman,TE,KC,Bye,FA,,,,,,,,,,,,,,,,0.0
Lawrence Cager TE - NYG,Lawrence Cager,TE,NYG,@SEA,FA,,,,,,,,,,,,,,,,0.0
Grant Calcaterra TE - PHI,Grant Calcaterra,TE,PHI,PIT,FA,,,,,,,,,,,,,,,,0.0
Stephen Carlson TE - CHI,Stephen Carlson,TE,CHI,Bye,FA,,,,,,,,,,,,,,,,0.0
Tyler Conklin TE - NYJ,Tyler Conklin,TE,NYJ,NE,FA,,,,,,,6.0,79.0,2.0,,,,,,,0.0
Tanner Conner TE - MIA,Tanner Conner,TE,MIA,Bye,FA,,,,,,,,,,,,,,,,0.0
Dominique Dafney TE Q,Dominique Dafney TE,Q,,BAL,FA,,,,,,,,,,,,,,,,0.0
Tyler Davis TE - GB IR,Tyler Davis,TE,GB,@BUF,W (Oct 4),,,,,,,,,,,,,,,,0.0
Derrick Deese Jr. TE,Derrick Deese Jr.,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Josiah Deguara TE - GB,Josiah Deguara,TE,GB,@BUF,W (Oct 4),,,,,,,1.0,9.0,,,,,,,,0.0
Brandon Dillon TE - WAS IR,Brandon Dillon,TE,WAS,Bye,FA,,,,,,,,,,,,,,,,0.0
Will Dissly TE - SEA Q View News,Will Dissly,TE,SEA,NYG,FA,,,,,,,2.0,12.0,,,,,,,,0.0
Greg Dulcich TE - DEN IR,Greg Dulcich,TE,DEN,@JAX,FA,,,,,,,4.0,87.0,,,,,,,,0.0
Payne Durham TE - TB,Payne Durham,TE,TB,Bye,FA,,,,,,,,,,,,,,,,0.0
Ross Dwelley TE - SF,Ross Dwelley,TE,SF,@LA,FA,,,,,,,1.0,56.0,,,,,,,,0.0
Ben Ellefson TE,Ben Ellefson,TE,,ARI,FA,,,,,,,,,,,,,,,,0.0
Evan Engram TE - JAX,Evan Engram,TE,JAX,DEN,Washington Fantasy Team,,,,,,,4.0,55.0,1.0,,,,,,,0.0
Zach Ertz TE - ARI,Zach Ertz,TE,ARI,@MIN,Bad Wildcats Hunschat,,,,,,,4.0,34.0,1.0,,,,,,,0.0
Gerald Everett TE - LAC View News,Gerald Everett,TE,LAC,Bye,FA,,,,,,,,,,,,,,,,0.0
