Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Yasir Abdullah LB - JAX,Yasir Abdullah,LB,JAX,Bye,FA,,,,,,,,,,,,,,,,,0.0
Matthew Adams LB - CLE,Matthew Adams,LB,CLE,NE,FA,,,,,,,,,,,,,,,,,0.0
Azeez Al-Shaair LB - TEN,Azeez,Al,Shaair,Bye,Washington Fantasy Team,,,,,,,,,,,,,,,,,0.0
Christopher Allen LB Q,Christopher Allen LB,Q,,Bye,FA,,,,,,,,,,,,,,,,,0.0
Josh Allen LB - JAX,Josh Allen,LB,JAX,@IND,GLADIATORS of NORSCHT,1.0,,,,,,,,,,,,,,1.0,,0.0
Troy Andersen LB - ATL IR,Troy Andersen,LB,ATL,SF,FA,7.0,6.0,,,,,,,,,,,,,,,0.0
Alex Anzalone LB - DET,Alex Anzalone,LB,DET,Bye,Slay,,,,,,,,,,,,,,,,,0.0
Brian Asamoah LB - MIN,Brian Asamoah,LB,MIN,@MIA,FA,1.0,,,,,,,,,,,,,,,,0.0
Joe Bachie LB - CIN,Joe Bachie,LB,CIN,@NO,FA,,,,,,,,,,,,,,,,,0.0
Markus Bailey LB - CIN,Markus Bailey,LB,CIN,@NO,FA,1.0,,,,,,,,,,,,,,,,0.0
Jerome Baker LB - MIA,Jerome Baker,LB,MIA,MIN,Bad Wildcats Hunschat,1.0,1.0,,,,,,,,,,,,,,,0.0
Derrick Barnes LB - DET Q,Derrick Barnes,LB,DET,Bye,W (Oct 4),,,,,,,,,,,,,,,,,0.0
Krys Barnes LB - ARI Q,Krys Barnes,LB,ARI,@SEA,FA,,,,,,,,,,,,,,,,,0.0
Zaire Barnes LB - NYJ,Zaire Barnes,LB,NYJ,Bye,FA,,,,,,,,,,,,,,,,,0.0
Shaquil Barrett LB - TB,Shaquil Barrett,LB,TB,@PIT,St Quintin Heidschnucken,2.0,2.0,,,,,,,,,,,,,,,0.0
Cody Barton LB - WAS,Cody Barton,LB,WAS,@CHI,Wbn Beasts,1.0,1.0,,,,,,,,,,,,,,,0.0
Tarell Basham LB,Tarell Basham,LB,,@NO,FA,,,,,,,,,,,,,,,,,0.0
