Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Josh Johnson QB - BAL,Josh Johnson,QB,BAL,ARI,FA,,,,,,,,,,,,,,,,0.0
Daniel Jones QB - NYG,Daniel Jones,QB,NYG,@PHI,dirty birds,,,,,,,,,,,,,,,,0.0
Mac Jones QB - NE,Mac Jones,QB,NE,@BUF,FA,26.0,243.0,3.0,3.0,5.0,,,,,,,,,,,0.0
Colin Kaepernick QB,Colin Kaepernick,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Case Keenum QB - HOU,Case Keenum,QB,HOU,@IND,FA,,,,,,,,,,,,,,,,0.0
Trey Lance QB - DAL,Trey Lance,QB,DAL,ARI,FA,,,,,,,,,,,,,,,,0.0
Trevor Lawrence QB - JAX,Trevor Lawrence,QB,JAX,TEN,Boppard Raiders,20.0,212.0,1.0,,-3.0,,,,,,,,,1.0,1.0,0.0
Will Levis QB - TEN,Will Levis,QB,TEN,Bye,FA,,,,,,,,,,,,,,,,0.0
Drew Lock QB - SEA,Drew Lock,QB,SEA,LA,FA,,,,,,,,,,,,,,,,0.0
Jordan Love QB - GB,Jordan Love,QB,GB,DET,GLADIATORS of NORSCHT,,,,,,,,,,,,,,,,0.0
Patrick Mahomes QB - KC,Patrick Mahomes,QB,KC,@LV,St Quintin Heidschnucken,18.0,202.0,1.0,,29.0,,,,,,,,,,,0.0
Marcus Mariota QB - PHI,Marcus Mariota,QB,PHI,NYG,FA,,,,,,,,,,,,,,,,0.0
Adrian Martinez QB,Adrian Martinez,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Baker Mayfield QB - TB,Baker Mayfield,QB,TB,@ATL,Slay,13.0,147.0,,1.0,16.0,,,,,,,,,,,0.0
Colt McCoy QB,Colt McCoy,QB,,@SF,FA,,,,,,,,,,,,,,,,0.0
Tanner McKee QB - PHI,Tanner McKee,QB,PHI,Bye,FA,,,,,,,,,,,,,,,,0.0
Trace McSorley QB,Trace McSorley,QB,,@BUF,FA,6.0,29.0,,1.0,13.0,,,,,,,,,,,0.0
Davis Mills QB - HOU,Davis Mills,QB,HOU,@IND,FA,22.0,298.0,3.0,2.0,6.0,,,,,,,,1.0,,,0.0
Gardner Minshew QB - IND View News,Gardner Minshew,QB,IND,HOU,FA,,,,,,,,,,,,,,,,0.0
Kellen Mond QB,Kellen Mond,QB,,@PIT,FA,,,,,,,,,,,,,,,,0.0
Tanner Morgan QB,Tanner Morgan,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Nick Mullens QB - MIN,Nick Mullens,QB,MIN,@CHI,FA,11.0,116.0,,1.0,8.0,,,,,,,,,,,0.0
Kyler Murray QB - ARI PUP,Kyler Murray,QB,ARI,@SF,FA,,,,,,,,,,,,,,,,0.0
Aidan O'Connell QB - LV,Aidan O'Connell,QB,LV,Bye,FA,,,,,,,,,,,,,,,,0.0
Bryce Perkins QB,Bryce Perkins,QB,,@SEA,FA,,,,,,,,,,,,,,,,0.0
E.J. Perry QB,E.J. Perry,QB,,@IND,FA,,,,,,,,,,,,,,,,0.0
Nathan Peterman QB - CHI,Nathan Peterman,QB,CHI,MIN,FA,11.0,114.0,1.0,,7.0,,,,,,,,,,,0.0
Kenny Pickett QB - PIT,Kenny Pickett,QB,PIT,CLE,FA,13.0,195.0,1.0,,1.0,,,,,,,,1.0,,1.0,0.0
Dak Prescott QB - DAL,Dak Prescott,QB,DAL,@WAS,Koblenz 87ers,14.0,128.0,1.0,1.0,16.0,,,,,,,,,,,0.0
Brock Purdy QB - SF,Brock Purdy,QB,SF,ARI,St Quintin Heidschnucken,15.0,178.0,3.0,,7.0,,,,,,,,,,,0.0
Anthony Richardson QB - IND View News,Anthony Richardson,QB,IND,Bye,Slay,,,,,,,,,,,,,,,,0.0
Desmond Ridder QB - ATL,Desmond Ridder,QB,ATL,TB,FA,19.0,224.0,2.0,,9.0,,,,,,,,,1.0,1.0,0.0
Aaron Rodgers QB - NYJ IR,Aaron Rodgers,QB,NYJ,@MIA,FA,17.0,205.0,1.0,1.0,10.0,,,,,,,,,,,0.0
Nathan Rourke QB - JAX,Nathan Rourke,QB,JAX,Bye,FA,,,,,,,,,,,,,,,,0.0
Mason Rudolph QB - PIT,Mason Rudolph,QB,PIT,CLE,FA,,,,,,,,,,,,,,,,0.0
Cooper Rush QB - DAL,Cooper Rush,QB,DAL,@WAS,FA,,,,,,,,,,,,,,,,0.0
Brett Rypien QB - LA,Brett Rypien,QB,LA,@SEA,FA,,,,,,,,,,,,,,,,0.0
Trevor Siemian QB - NYJ,Trevor Siemian,QB,NYJ,BAL,FA,,,,,,,,,,,,,,,,0.0
Geno Smith QB - SEA,Geno Smith,QB,SEA,LA,Koblenz 87ers,19.0,213.0,1.0,2.0,51.0,,,,,,,,,,,0.0
Matthew Stafford QB - LA,Matthew Stafford,QB,LA,@SEA,Magic Eulers,,,,,,,,,,,,,,,,0.0
Easton Stick QB - LAC,Easton Stick,QB,LAC,@DEN,FA,,,,,,,,,,,,,,,,0.0
Jarrett Stidham QB - DEN,Jarrett Stidham,QB,DEN,LAC,FA,22.0,219.0,1.0,1.0,50.0,,,,,,,,,1.0,2.0,0.0
Chris Streveler QB Q,Chris Streveler QB,Q,,@MIA,FA,,,,,,,,,,,,,,,,0.0
C.J. Stroud QB - HOU,C.J. Stroud,QB,HOU,Bye,GLADIATORS of NORSCHT,,,,,,,,,,,,,,,,0.0
Nate Sudfeld QB - DET IR,Nate Sudfeld,QB,DET,@GB,W (Oct 4),,,,,,,,,,,,,,,,0.0
Tua Tagovailoa QB - MIA,Tua Tagovailoa,QB,MIA,NYJ,Alta Villa Cardinals,,,,,,,,,,,,,,,,0.0
