Player,Name,Position,Team,Opp,Manager,PAT_Made,PAT_Miss,FG Made_0-19,FG Made_20-29,FG Made_30-39,FG Made_40-49,FG Made_50+,FG Miss_0-19,FG Miss_20-29,FG Miss_30-39,FG Miss_40-49,Fantasy_Points
Matt Prater K - ARI,Matt Prater,K,ARI,@SEA,Alta Villa Cardinals,,,,,,,,,,,,0.0
Alex Quevedo K,Alex Quevedo,K,,Bye,FA,,,,,,,,,,,,0.0
John Parker Romo K - CHI,John Parker Romo,K,CHI,Bye,FA,,,,,,,,,,,,0.0
Chad Ryland K - NE,Chad Ryland,K,NE,Bye,FA,,,,,,,,,,,,0.0
Jason Sanders K - MIA,Jason Sanders,K,MIA,MIN,dirty birds,1.0,,,,,1.0,,,,,,0.0
Cairo Santos K - CHI,Cairo Santos,K,CHI,WAS,FA,1.0,,,,,,,,,,,0.0
Austin Seibert K - NYJ,Austin Seibert,K,NYJ,Bye,FA,,,,,,,,,,,,0.0
Caleb Shudak K,Caleb Shudak,K,,Bye,FA,,,,,,,,,,,,0.0
Joey Slye K - WAS,Joey Slye,K,WAS,@CHI,FA,,,,1.0,1.0,,,,,,1.0,0.0
Ryan Succop K,Ryan Succop,K,,@PIT,FA,,,,,,,,,,,,0.0
Andre Szmyt K,Andre Szmyt,K,,Bye,FA,,,,,,,,,,,,0.0
Matthew Trickett K,Matthew Trickett,K,,Bye,FA,,,,,,,,,,,,0.0
Justin Tucker K - BAL,Justin Tucker,K,BAL,@NYG,dirty birds,2.0,,,1.0,1.0,,,,,,,0.0
Jake Verity K,Jake Verity,K,,@PIT,FA,,,,,,,,,,,,0.0
Tristan Vizcaino K,Tristan Vizcaino,K,,@PHI,FA,,,,,,,,,,,,0.0
Parker White K,Parker White,K,,Bye,FA,,,,,,,,,,,,0.0
Trey Wolff K,Trey Wolff,K,,Bye,FA,,,,,,,,,,,,0.0
Cade York K - TEN,Cade York,K,TEN,NE,FA,,,,,1.0,1.0,1.0,,,,,0.0
Greg Zuerlein K - NYJ,Greg Zuerlein,K,NYJ,@GB,GLADIATORS of NORSCHT,3.0,,,1.0,1.0,,,,,,,0.0
