Player,Name,Position,Team,Opp,Manager,PAT_Made,PAT_Miss,FG Made_0-19,FG Made_20-29,FG Made_30-39,FG Made_40-49,FG Made_50+,FG Miss_0-19,FG Miss_20-29,FG Miss_30-39,FG Miss_40-49,Fantasy_Points
Brandon Aubrey K - DAL,Brandon Aubrey,K,DAL,Bye,FA,,,,,,,,,,,,0.0
Mike Badgley K - DET,Mike Badgley,K,DET,Bye,W (Oct 4),,,,,,,,,,,,0.0
Tyler Bass K - BUF,Tyler Bass,K,BUF,@KC,Washington Fantasy Team,3.0,,,,1.0,,,,,,,0.0
Rodrigo Blankenship K,Rodrigo Blankenship,K,,Bye,FA,,,,,,,,,,,,0.0
Chris Boswell K - PIT,Chris Boswell,K,PIT,TB,FA,2.0,,,1.0,,,1.0,,,,,0.0
Tanner Brown K,Tanner Brown,K,,Bye,FA,,,,,,,,,,,,0.0
Randy Bullock K,Randy Bullock,K,,Bye,FA,,,,,,,,,,,,0.0
Harrison Butker K - KC,Harrison Butker,K,KC,BUF,Boppard Raiders,2.0,,,,,1.0,1.0,,,,,0.0
Anders Carlson K - GB,Anders Carlson,K,GB,Bye,W (Oct 4),,,,,,,,,,,,0.0
Daniel Carlson K - LV,Daniel Carlson,K,LV,Bye,Wbn Beasts,,,,,,,,,,,,0.0
Mason Crosby K,Mason Crosby,K,,NYJ,FA,,,,,,,,,,,,0.0
Cameron Dicker K - LAC,Cameron Dicker,K,LAC,DEN,FA,,,,,,,,,,,,0.0
Christopher Dunn K,Christopher Dunn,K,,Bye,FA,,,,,,,,,,,,0.0
Jake Elliott K - PHI,Jake Elliott,K,PHI,DAL,FA,2.0,,,,1.0,,1.0,,,,,0.0
Ka'imi Fairbairn K - HOU,Ka'imi Fairbairn,K,HOU,Bye,FA,,,,,,,,,,,,0.0
Nick Folk K - TEN,Nick Folk,K,TEN,@CLE,FA,5.0,,1.0,,,,,,,,1.0,0.0
Elliott Fry K,Elliott Fry,K,,Bye,FA,,,,,,,,,,,,0.0
Graham Gano K - NYG,Graham Gano,K,NYG,BAL,Bad Wildcats Hunschat,3.0,,,,1.0,,,,,,,0.0
Matt Gay K - IND,Matt Gay,K,IND,JAX,FA,3.0,,,1.0,,,,,,,,0.0
Zane Gonzalez K Q,Zane Gonzalez K,Q,,@ATL,FA,,,,,,,,,,,,0.0
Robbie Gould K,Robbie Gould,K,,@ATL,FA,,,,,,,,,,,,0.0
Blake Grupe K - NO,Blake Grupe,K,NO,Bye,FA,,,,,,,,,,,,0.0
Stephen Hauschka K,Stephen Hauschka,K,,Bye,FA,,,,,,,,,,,,0.0
Lucas Havrisik K - CLE,Lucas Havrisik,K,CLE,Bye,FA,,,,,,,,,,,,0.0
Dustin Hopkins K - CLE,Dustin Hopkins,K,CLE,DEN,FA,1.0,,,,4.0,,,,,,,0.0
Younghoe Koo K - ATL,Younghoe Koo,K,ATL,SF,FA,4.0,,,,,,,,,,,0.0
Josh Lambo K,Josh Lambo,K,,Bye,FA,,,,,,,,,,,,0.0
Wil Lutz K - DEN,Wil Lutz,K,DEN,CIN,FA,2.0,,,,4.0,,,,,,,0.0
Brett Maher K - LA,Brett Maher,K,LA,@PHI,FlyRamsFly,,,,,,,,,,,,0.0
James McCourt K,James McCourt,K,,@IND,FA,,,,,,,,,,,,0.0
Chase McLaughlin K - TB,Chase McLaughlin,K,TB,@PIT,FA,2.0,,,1.0,,1.0,,,,,,0.0
Brandon McManus K - JAX,Brandon McManus,K,JAX,@LAC,FA,1.0,,,1.0,,1.0,1.0,,,,,0.0
Evan McPherson K - CIN,Evan McPherson,K,CIN,@NO,St Quintin Heidschnucken,3.0,,,,,,1.0,,,,,0.0
Jake Moody K - SF,Jake Moody,K,SF,Bye,Magic Eulers,,,,,,,,,,,,0.0
Jason Myers K - SEA,Jason Myers,K,SEA,ARI,Slay,1.0,,,1.0,3.0,,,,,,,0.0
Riley Patterson K - DET View News,Riley Patterson,K,DET,@IND,Koblenz 87ers,3.0,,,,,,,,,,,0.0
Eddy Pineiro K - CAR,Eddy Pineiro,K,CAR,@LA,Slay,1.0,,,,,1.0,,,,,,0.0
Jack Podlesny K,Jack Podlesny,K,,Bye,FA,,,,,,,,,,,,0.0
B.T. Potter K,B.T. Potter,K,,Bye,FA,,,,,,,,,,,,0.0
