Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Nate Adkins TE - DEN,Nate Adkins,TE,DEN,Bye,FA,,,,,,,,,,,,,,,,0.0
Jordan Akins TE - CLE,Jordan Akins,TE,CLE,@WAS,FA,,,,,,,2.0,38.0,,,,,,,,0.0
Mo Alie-Cox TE - IND,Mo,Alie,Cox,@NYG,FA,,,,,,,,,,,,,,,,0.0
Austin Allen TE,Austin Allen,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Chase Allen TE Q,Chase Allen TE,Q,,@DET,FA,,,,,,,,,,,,,,,,0.0
Davis Allen TE - LA,Davis Allen,TE,LA,Bye,FA,,,,,,,,,,,,,,,,0.0
Mark Andrews TE - BAL,Mark Andrews,TE,BAL,PIT,Slay,,,,,,,9.0,100.0,,,,,,,,0.0
J.J. Arcega-Whiteside TE,J.J.,Arcega,Whiteside,Bye,FA,,,,,,,,,,,,,,,,0.0
Dan Arnold TE,Dan Arnold,TE,,@HOU,FA,,,,,,,,,,,,,,,,0.0
Devin Asiasi TE - CLE,Devin Asiasi,TE,CLE,BUF,FA,,,,,,,,,,,,,,,,0.0
John Bates TE - WAS,John Bates,TE,WAS,CLE,FA,,,,,,,,,,,,,,,,0.0
Andrew Beck TE - HOU,Andrew Beck,TE,HOU,JAX,FA,,,,,,,2.0,10.0,,,,,,,,0.0
Blake Bell TE - KC,Blake Bell,TE,KC,DEN,FA,,,,,,,1.0,17.0,1.0,,,,,,,0.0
Daniel Bellinger TE - NYG Q View News,Daniel Bellinger,TE,NYG,IND,FA,,,,,,,3.0,42.0,,,,,,,,0.0
Kendall Blanton TE,Kendall Blanton,TE,,DEN,FA,,,,,,,,,,,,,,,,0.0
Nick Bowers TE - MIA,Nick Bowers,TE,MIA,BUF,FA,,,,,,,,,,,,,,,,0.0
Pharaoh Brown TE - NE,Pharaoh Brown,TE,NE,@NYG,FA,,,,,,,,,,,,,,,,0.0
Harrison Bryant TE - CLE,Harrison Bryant,TE,CLE,@WAS,FA,,,,,,,2.0,19.0,,,,,,,,0.0
Matt Bushman TE - KC,Matt Bushman,TE,KC,DEN,FA,,,,,,,,,,,,,,,,0.0
Lawrence Cager TE - NYG,Lawrence Cager,TE,NYG,IND,FA,,,,,,,,,,,,,,,,0.0
Grant Calcaterra TE - PHI,Grant Calcaterra,TE,PHI,NO,FA,,,,,,,,,,,,,,,,0.0
Stephen Carlson TE - CHI,Stephen Carlson,TE,CHI,Bye,FA,,,,,,,,,,,,,,,,0.0
Tyler Conklin TE - NYJ,Tyler Conklin,TE,NYJ,@SEA,FA,,,,,,,6.0,80.0,,,,,,,,0.0
Tanner Conner TE - MIA,Tanner Conner,TE,MIA,Bye,FA,,,,,,,,,,,,,,,,0.0
Dominique Dafney TE Q,Dominique Dafney TE,Q,,CAR,FA,,,,,,,,,,,,,,,,0.0
Tyler Davis TE - GB IR,Tyler Davis,TE,GB,MIN,W (Oct 4),,,,,,,,,,,,,,,,0.0
Derrick Deese Jr. TE,Derrick Deese Jr.,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Josiah Deguara TE - GB,Josiah Deguara,TE,GB,MIN,W (Oct 4),,,,,,,1.0,4.0,,,,,,,,0.0
Brandon Dillon TE - WAS IR,Brandon Dillon,TE,WAS,Bye,FA,,,,,,,,,,,,,,,,0.0
Will Dissly TE - SEA Q View News,Will Dissly,TE,SEA,NYJ,FA,,,,,,,,,,,,,,,,0.0
Greg Dulcich TE - DEN IR,Greg Dulcich,TE,DEN,@KC,FA,,,,,,,,,,,,,,,,0.0
Payne Durham TE - TB,Payne Durham,TE,TB,Bye,FA,,,,,,,,,,,,,,,,0.0
Ross Dwelley TE - SF,Ross Dwelley,TE,SF,@LV,FA,,,,,,,,,,,,,,,,0.0
Ben Ellefson TE,Ben Ellefson,TE,,@GB,FA,,,,,,,,,,,,,,,,0.0
Evan Engram TE - JAX,Evan Engram,TE,JAX,@HOU,Washington Fantasy Team,,,,,13.0,,1.0,16.0,,,,,,,,0.0
Zach Ertz TE - ARI,Zach Ertz,TE,ARI,@ATL,Bad Wildcats Hunschat,,,,,,,,,,,,,,,,0.0
Gerald Everett TE - LAC View News,Gerald Everett,TE,LAC,LA,FA,,,,,,,3.0,15.0,1.0,,,,,,,0.0
Michael Ezeike TE,Michael Ezeike,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Noah Fant TE - SEA,Noah Fant,TE,SEA,NYJ,FA,,,,,,,2.0,40.0,,,,,,,,0.0
Princeton Fant TE - DAL,Princeton Fant,TE,DAL,Bye,FA,,,,,,,,,,,,,,,,0.0
Luke Farrell TE - JAX,Luke Farrell,TE,JAX,@HOU,FA,,,,,,,,,,,,,,,,0.0
Jake Ferguson TE - DAL,Jake Ferguson,TE,DAL,@TEN,FA,,,,,,,1.0,7.0,,,,,,,,0.0
Anthony Firkser TE,Anthony Firkser,TE,,ARI,FA,,,,,,,,,,,,,,,,0.0
Tucker Fisk TE - ATL,Tucker Fisk,TE,ATL,Bye,FA,,,,,,,,,,,,,,,,0.0
John FitzPatrick TE - ATL,John FitzPatrick,TE,ATL,ARI,FA,,,,,,,,,,,,,,,,0.0
Miller Forristall TE - LA,Miller Forristall,TE,LA,@PHI,FA,,,,,,,,,,,,,,,,0.0
Jody Fortson TE - KC IR,Jody Fortson,TE,KC,DEN,FA,,,,,,,,,,,,,,,,0.0
Cole Fotheringham TE - LV,Cole Fotheringham,TE,LV,Bye,FA,,,,,,,,,,,,,,,,0.0
Feleipe Franks TE - ATL IR,Feleipe Franks,TE,ATL,ARI,FA,,,,,,,,,,,,,,,,0.0
Pat Freiermuth TE - PIT,Pat Freiermuth,TE,PIT,@BAL,St Quintin Heidschnucken,,,,,,,3.0,36.0,,,,,,,,0.0
Izaiah Gathings TE,Izaiah Gathings,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Zach Gentry TE - CIN,Zach Gentry,TE,CIN,@BAL,FA,,,,,,,,,,,,,,,,0.0
Mike Gesicki TE - NE,Mike Gesicki,TE,NE,MIA,FA,,,,,,,2.0,18.0,1.0,,,,,,,0.0
Reggie Gilliam TE - BUF,Reggie Gilliam,TE,BUF,@CIN,FA,,,,,,,,,,,,,,,,0.0
Noah Gindorff TE,Noah Gindorff,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Dallas Goedert TE - PHI,Dallas Goedert,TE,PHI,NO,Koblenz 87ers,,,,,,,3.0,45.0,,,,,,,,0.0
Jimmy Graham TE - NO,Jimmy Graham,TE,NO,Bye,FA,,,,,,,,,,,,,,,,0.0
Kylen Granson TE - IND,Kylen Granson,TE,IND,@NYG,FA,,,,,,,,,,,,,,,,0.0
Noah Gray TE - KC View News,Noah Gray,TE,KC,DEN,FA,,,,,,,1.0,12.0,,,,,,,,0.0
Thomas Greaney TE,Thomas Greaney,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Seth Green TE,Seth Green,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Nick Guggemos TE,Nick Guggemos,TE,,MIN,FA,,,,,,,,,,,,,,,,0.0
Jacob Harris TE - JAX,Jacob Harris,TE,JAX,@LAC,FA,,,,,,,,,,,,,,,,0.0
Griffin Hebert TE,Griffin Hebert,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Peyton Hendershot TE - DAL Q View News,Peyton Hendershot,TE,DAL,@TEN,FA,,,,,,,,,,,,,,,,0.0
Hunter Henry TE - NE,Hunter Henry,TE,NE,MIA,FlyRamsFly,,,,,,,5.0,52.0,,,,,,,,0.0
Parker Hesse TE - ATL,Parker Hesse,TE,ATL,ARI,FA,,,,,,,,,,,,,,,,0.0
Connor Heyward TE - PIT,Connor Heyward,TE,PIT,@BAL,FA,,,,,,,,,,,,,,,,0.0
Tyler Higbee TE - LA Q View News,Tyler Higbee,TE,LA,@LAC,Boppard Raiders,,,,,,,3.0,11.0,,,,,,,,0.0
Julian Hill TE - MIA,Julian Hill,TE,MIA,Bye,FA,,,,,,,,,,,,,,,,0.0
Taysom Hill TE - NO,Taysom Hill,TE,NO,@PHI,St Quintin Heidschnucken,2.0,24.0,,,46.0,1.0,1.0,10.0,,,,,,,,0.0
T.J. Hockenson TE - MIN,T.J. Hockenson,TE,MIN,@GB,Wbn Beasts,,,,,,,7.0,59.0,,,,,,,,0.0
Curtis Hodges TE - WAS,Curtis Hodges,TE,WAS,CLE,FA,,,,,,,,,,,,,,,,0.0
Joel Honigford TE,Joel Honigford,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Austin Hooper TE - LV,Austin Hooper,TE,LV,SF,FA,,,,,,,1.0,6.0,,,,,,,,0.0
Jesper Horsted TE - LV,Jesper Horsted,TE,LV,SF,FA,,,,,,,,,,,,,,,,0.0
O.J. Howard TE,O.J. Howard,TE,,SF,FA,,,,,,,1.0,26.0,,,,,,,,0.0
Tanner Hudson TE - CIN,Tanner Hudson,TE,CIN,BUF,FA,,,,,,,,,,,,,,,,0.0
Tommy Hudson TE - NO,Tommy Hudson,TE,NO,Bye,FA,,,,,,,,,,,,,,,,0.0
Hayden Hurst TE - CAR,Hayden Hurst,TE,CAR,@TB,FA,,,,,,,,,,,,,,,,0.0
Tyree Jackson TE - NYG,Tyree Jackson,TE,NYG,NO,FA,,,,,,,,,,,,,,,,0.0
Jesse James TE,Jesse James,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
E.J. Jenkins TE,E.J. Jenkins,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Juwan Johnson TE - NO,Juwan Johnson,TE,NO,@PHI,Wbn Beasts,,,,,,,5.0,62.0,,,,,,,,0.0
Ryan Jones TE - NYG,Ryan Jones,TE,NYG,Bye,FA,,,,,,,,,,,,,,,,0.0
Brevin Jordan TE - HOU,Brevin Jordan,TE,HOU,JAX,FA,,,,,,,1.0,20.0,,,,,,,,0.0
Nikola Kalinic TE - LA,Nikola Kalinic,TE,LA,@NYG,FA,,,,,,,,,,,,,,,,0.0
Hunter Kampmoyer TE - LAC,Hunter Kampmoyer,TE,LAC,LA,FA,,,,,,,,,,,,,,,,0.0
Dalton Keene TE - HOU,Dalton Keene,TE,HOU,NO,FA,,,,,,,,,,,,,,,,0.0
Travis Kelce TE - KC,Travis Kelce,TE,KC,DEN,dirty birds,,,,,,,7.0,43.0,,,,,,,,0.0
Ko Kieft TE - TB,Ko Kieft,TE,TB,CAR,FA,,,,,,,,,,,,,,,,0.0
Dalton Kincaid TE - BUF,Dalton Kincaid,TE,BUF,Bye,Magic Eulers,,,,,,,,,,,,,,,,0.0
George Kittle TE - SF,George Kittle,TE,SF,@LV,Magic Eulers,,,,,,,4.0,23.0,1.0,,,,,,,0.0
