Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Micah Abernathy DB - ATL,Micah Abernathy,DB,ATL,Bye,FA,,,,,,,,,,,,,,,,,0.0
Johnathan Abram DB - NO,Johnathan Abram,DB,NO,MIN,FA,3.0,2.0,,,,,,,,,,,,,,,0.0
Jamal Adams DB - SEA,Jamal Adams,DB,SEA,@DET,St Quintin Heidschnucken,,,,,,,,,,,,,,,,,0.0
Tony Adams DB - NYJ O View News,Tony Adams,DB,NYJ,Bye,FA,,,,,,,,,,,,,,,,,0.0
Paulson Adebo DB - NO O View News,Paulson Adebo,DB,NO,MIN,FA,8.0,,,,,,,,,,,,,1.0,,,0.0
Jaire Alexander DB - GB IA,Jaire Alexander,DB,GB,NE,GLADIATORS of NORSCHT,,,,,,,,,,,,,,,,,0.0
Dee Alford DB - ATL,Dee Alford,DB,ATL,CLE,Wbn Beasts,3.0,,,,1.0,,,,,,,,,1.0,,,0.0
Ugo Amadi DB - NO,Ugo Amadi,DB,NO,MIN,FA,,,,,,,,,,,,,,,,,0.0
Adrian Amos DB - NYJ,Adrian Amos,DB,NYJ,NE,FA,,,,,,,,,,,,,,,,,0.0
Tycen Anderson DB - CIN,Tycen Anderson,DB,CIN,MIA,FA,,,,,,,,,,,,,,,,,0.0
Zayne Anderson DB - GB IA,Zayne Anderson,DB,GB,@BAL,W (Oct 4),,,,,,,,,,,,,,,,,0.0
Troy Apke DB - WAS IR,Troy Apke,DB,WAS,@DAL,FA,,,,,,,,,,,,,,,,,0.0
Jalyn Armour-Davis DB - BAL,Jalyn,Armour,Davis,BUF,FA,,,,,,,,,,,,,,,,,0.0
Cornell Armstrong DB Q,Cornell Armstrong DB,Q,,CLE,FA,,,,,,,,,,,,,,,,,0.0
Grayland Arnold DB - HOU,Grayland Arnold,DB,HOU,Bye,FA,,,,,,,,,,,,,,,,,0.0
Tre Avery DB - TEN,Tre Avery,DB,TEN,Bye,FA,,,,,,,,,,,,,,,,,0.0
Chidobe Awuzie DB - CIN,Chidobe Awuzie,DB,CIN,MIA,FA,4.0,,,,,,,,,,,,,,,,0.0
Budda Baker DB - ARI IR,Budda Baker,DB,ARI,@CAR,FA,2.0,3.0,,,,,,,,,,,,,,,0.0
Darrell Baker Jr. DB - IND,Darrell Baker Jr.,DB,IND,Bye,FA,,,,,,,,,,,,,,,,,0.0
Corey Ballentine DB - GB,Corey Ballentine,DB,GB,NE,W (Oct 4),,,,,,,,,,,,,,,,,0.0
Deonte Banks DB - NYG,Deonte Banks,DB,NYG,Bye,FA,,,,,,,,,,,,,,,,,0.0
Kalon Barnes DB,Kalon Barnes,DB,,@NO,FA,,,,,,,,,,,,,,,,,0.0
Essang Bassey DB - DEN,Essang Bassey,DB,DEN,@LV,FA,,,,,,,,,,,,,,,,,0.0
Jessie Bates DB - ATL,Jessie Bates,DB,ATL,CLE,Alta Villa Cardinals,6.0,,,,,,,,,,,,,1.0,,,0.0
Jordan Battle DB - CIN,Jordan Battle,DB,CIN,Bye,FA,,,,,,,,,,,,,,,,,0.0
Markquese Bell DB - DAL,Markquese Bell,DB,DAL,Bye,FA,,,,,,,,,,,,,,,,,0.0
Vonn Bell DB - CAR,Vonn Bell,DB,CAR,ARI,St Quintin Heidschnucken,4.0,,,,2.0,,,,,,,,,2.0,,46.0,0.0
Dane Belton DB - NYG,Dane Belton,DB,NYG,CHI,FA,3.0,1.0,,1.0,,,1.0,,,,,,,,,,0.0
Christian Benford DB - BUF,Christian Benford,DB,BUF,@BAL,FA,,,,,,,,,,,,,,,,,0.0
Jarrick Bernard-Converse DB - NYJ PUP,Jarrick,Bernard,Converse,Bye,FA,,,,,,,,,,,,,,,,,0.0
Justin Bethel DB - MIA,Justin Bethel,DB,MIA,@CIN,FA,,,,,,,,,,,,,,,,,0.0
Henry Black DB - IND,Henry Black,DB,IND,TEN,FA,,,,,,,,,,,,,,,,,0.0
Julian Blackmon DB - IND,Julian Blackmon,DB,IND,TEN,FA,,,,,,,,,,,,,,,,,0.0
Josh Blackwell DB - CHI IR View News,Josh Blackwell,DB,CHI,@NYG,FA,1.0,,,,,1.0,1.0,,,,,,,,,,0.0
DaRon Bland DB - DAL,DaRon Bland,DB,DAL,WAS,FA,3.0,,,,1.0,,,,,,,,,1.0,,4.0,0.0
Reed Blankenship DB - PHI,Reed Blankenship,DB,PHI,JAX,Alta Villa Cardinals,1.0,,,,,,,,,,,,,,,,0.0
