Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Mykal Walker LB - LV,Mykal Walker,LB,LV,@WAS,FA,1.0,8.0,,,1.0,,,,,,,,,2.0,,12.0,0.0
Quay Walker LB - GB,Quay Walker,LB,GB,@PHI,Slay,4.0,7.0,,,,,1.0,,,,,,,,,,0.0
Travon Walker LB - JAX,Travon Walker,LB,JAX,BAL,FA,,1.0,,,,,,,,,,,,,,,0.0
Garret Wallow LB - HOU,Garret Wallow,LB,HOU,@MIA,FA,,,,,,,,,,,,,,,,,0.0
Fred Warner LB - SF,Fred Warner,LB,SF,NO,dirty birds,5.0,1.0,,,,1.0,,,,,,,,2.0,1.0,,0.0
T.J. Watt LB - PIT,T.J. Watt,LB,PIT,@IND,Magic Eulers,2.0,1.0,,,,1.0,,,,,,,,,1.0,,0.0
Rashad Weaver LB - TEN,Rashad Weaver,LB,TEN,CIN,FA,1.0,2.0,,,,,,,,,,,,,,,0.0
Kristian Welch LB - GB,Kristian Welch,LB,GB,@JAX,W (Oct 4),,,,,,,,,,,,,,,,,0.0
Pete Werner LB - NO,Pete Werner,LB,NO,@SF,Alta Villa Cardinals,,,,,,,,,,,,,,,,,0.0
Devin White LB - TB Q View News,Devin White,LB,TB,@CLE,Alta Villa Cardinals,8.0,5.0,0.5,,,,,,,,,,,1.0,1.0,,0.0
Drew White LB - WAS PUP,Drew White,LB,WAS,Bye,FA,,,,,,,,,,,,,,,,,0.0
Kyzir White LB - ARI,Kyzir White,LB,ARI,LAC,Alta Villa Cardinals,2.0,1.0,,,,,,,,,,,,,,,0.0
Benton Whitley LB - MIN,Benton Whitley,LB,MIN,Bye,FA,,,,,,,,,,,,,,,,,0.0
Ray Wilborn LB,Ray Wilborn,LB,,@CAR,FA,,,,,,,,,,,,,,,,,0.0
Dorian Williams LB - BUF,Dorian Williams,LB,BUF,Bye,FA,,,,,,,,,,,,,,,,,0.0
Quincy Williams LB - NYJ,Quincy Williams,LB,NYJ,CHI,GLADIATORS of NORSCHT,3.0,2.0,,1.0,,,,,,,,,,,,,0.0
Eric Wilson LB - GB,Eric Wilson,LB,GB,Bye,W (Oct 4),,,,,,,,,,,,,,,,,0.0
Logan Wilson LB - CIN,Logan Wilson,LB,CIN,@TEN,dirty birds,5.0,4.0,,1.0,,,,,,,,,,1.0,,,0.0
Mack Wilson LB - NE,Mack Wilson,LB,NE,@MIN,FA,1.0,,,,,,,,,,,,,,,,0.0
Josh Woods LB - ARI O View News,Josh Woods,LB,ARI,LAC,FA,,,,,,,,,,,,,,,,,0.0
Chandler Wooten LB - CAR,Chandler Wooten,LB,CAR,Bye,FA,,,,,,,,,,,,,,,,,0.0
Byron Young LB - LA,Byron Young,LB,LA,Bye,FA,,,,,,,,,,,,,,,,,0.0
