Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Holton Ahlers QB,Holton Ahlers,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Brandon Allen QB - SF,Brandon Allen,QB,SF,BUF,FA,,,,,,,,,,,,,,,,0.0
Josh Allen QB - BUF,Josh Allen,QB,BUF,@CIN,FlyRamsFly,,,,,,,,,,,,,,,,0.0
Kyle Allen QB - BUF,Kyle Allen,QB,BUF,@CIN,FA,,,,,,,,,,,,,,,,0.0
Tyson Bagent QB - CHI,Tyson Bagent,QB,CHI,Bye,FA,,,,,,,,,,,,,,,,0.0
Matt Barkley QB Q,Matt Barkley QB,Q,,@CIN,FA,,,,,,,,,,,,,,,,0.0
C.J. Beathard QB - JAX,C.J. Beathard,QB,JAX,@HOU,FA,5.0,29.0,,1.0,,,,,,,,,,,,0.0
Stetson Bennett QB - LA NFI-R,Stetson Bennett,QB,LA,Bye,FA,,,,,,,,,,,,,,,,0.0
James Blackman QB,James Blackman,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
David Blough QB - DET,David Blough,QB,DET,@ATL,W (Oct 4),24.0,222.0,1.0,,7.0,,,,,,,,,,,0.0
Ian Book QB,Ian Book,QB,,NO,FA,,,,,,,,,,,,,,,,0.0
Tim Boyle QB - NYJ,Tim Boyle,QB,NYJ,@SEA,FA,,,,,,,,,,,,,,,,0.0
Teddy Bridgewater QB - DET,Teddy Bridgewater,QB,DET,@NE,W (Oct 4),,,,,,,,,,,,,,,,0.0
Jacoby Brissett QB - WAS,Jacoby Brissett,QB,WAS,CLE,FA,,,,,2.0,,,,,,,,,,,0.0
Anthony Brown QB,Anthony Brown,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jake Browning QB - CIN,Jake Browning,QB,CIN,BUF,FA,,,,,,,,,,,,,,,,0.0
Shane Buechele QB - BUF,Shane Buechele,QB,BUF,DEN,FA,,,,,,,,,,,,,,,,0.0
Joe Burrow QB - CIN View News,Joe Burrow,QB,CIN,BUF,Magic Eulers,,,,,,,,,,,,,,,,0.0
Derek Carr QB - NO Q View News,Derek Carr,QB,NO,@PHI,FA,,,,,,,,,,,,,,,,0.0
Sean Clifford QB - GB,Sean Clifford,QB,GB,Bye,W (Oct 4),,,,,,,,,,,,,,,,0.0
Matt Corral QB,Matt Corral,QB,,@TB,FA,,,,,,,,,,,,,,,,0.0
Kirk Cousins QB - MIN,Kirk Cousins,QB,MIN,@GB,FlyRamsFly,18.0,205.0,1.0,3.0,37.0,,,,,,,,,1.0,2.0,0.0
Malik Cunningham QB - NE,Malik Cunningham,QB,NE,Bye,FA,,,,,,,,,,,,,,,,0.0
Andy Dalton QB - CAR,Andy Dalton,QB,CAR,@TB,FA,18.0,205.0,,1.0,-2.0,,,,,,,,,,,0.0
