Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Jack Stoll TE - PHI,Jack Stoll,TE,PHI,DAL,FA,,,,,,,1.0,21.0,,,,,,,,0.0
Brenton Strange TE - JAX,Brenton Strange,TE,JAX,Bye,FA,,,,,,,,,,,,,,,,0.0
Stephen Sullivan TE - CAR IR,Stephen Sullivan,TE,CAR,@LA,FA,,,,,,,,,,,,,,,,0.0
Tommy Sweeney TE - NYG NFI-R,Tommy Sweeney,TE,NYG,BAL,FA,,,,,,,1.0,7.0,,,,,,,,0.0
Tanner Taula TE - TB,Tanner Taula,TE,TB,Bye,FA,,,,,,,,,,,,,,,,0.0
Leonard Taylor TE - JAX IR,Leonard Taylor,TE,JAX,Bye,FA,,,,,,,,,,,,,,,,0.0
Hunter Thedford TE,Hunter Thedford,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Ian Thomas TE - CAR,Ian Thomas,TE,CAR,@LA,FA,,,,,,,2.0,22.0,,,,,,,,0.0
Logan Thomas TE - WAS View News,Logan Thomas,TE,WAS,@CHI,FA,,,,,,,,,,,,,,,,0.0
Noah Togiai TE,Noah Togiai,TE,,@SEA,FA,,,,,,,,,,,,,,,,0.0
Eric Tomlinson TE,Eric Tomlinson,TE,,Bye,FA,,,,,,,1.0,16.0,,,,,,,,0.0
Jake Tonges TE - SF,Jake Tonges,TE,SF,WAS,FA,,,,,,,,,,,,,,,,0.0
Robert Tonyan TE - CHI,Robert Tonyan,TE,CHI,WAS,FA,,,,,,,10.0,90.0,,,,,,,,0.0
Christian Trahan TE,Christian Trahan,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Adam Trautman TE - DEN,Adam Trautman,TE,DEN,@LAC,FA,,,,,,,1.0,8.0,,,,,,,,0.0
Tommy Tremble TE - CAR,Tommy Tremble,TE,CAR,@LA,FA,,,,,,,,,,,,,,,,0.0
Cole Turner TE - WAS,Cole Turner,TE,WAS,@CHI,FA,,,,,,,2.0,23.0,,,,,,,,0.0
C.J. Uzomah TE - NYJ,C.J. Uzomah,TE,NYJ,@GB,FA,,,,,,,2.0,17.0,,,,,,,,0.0
Travis Vokolek TE - BAL,Travis Vokolek,TE,BAL,Bye,FA,,,,,,,,,,,,,,,,0.0
Darren Waller TE - NYG,Darren Waller,TE,NYG,BAL,Alta Villa Cardinals,,,,,,,,,,,,,,,,0.0
Darnell Washington TE - PIT View News,Darnell Washington,TE,PIT,Bye,FA,,,,,,,,,,,,,,,,0.0
Scotty Washington TE,Scotty Washington,TE,,@CLE,FA,,,,,,,,,,,,,,,,0.0
Leroy Watson TE - SF,Leroy Watson,TE,SF,Bye,FA,,,,,,,,,,,,,,,,0.0
David Wells TE - TB,David Wells,TE,TB,@PIT,FA,,,,,,,,,,,,,,,,0.0
Trevon Wesco TE - TEN,Trevon Wesco,TE,TEN,Bye,FA,,,,,,,,,,,,,,,,0.0
Blake Whiteheart TE - ARI,Blake Whiteheart,TE,ARI,Bye,FA,,,,,,,,,,,,,,,,0.0
Josh Whyle TE - TEN,Josh Whyle,TE,TEN,Bye,FA,,,,,,,,,,,,,,,,0.0
Brayden Willis TE - SF,Brayden Willis,TE,SF,Bye,FA,,,,,,,,,,,,,,,,0.0
Joel Wilson TE - BUF,Joel Wilson,TE,BUF,Bye,FA,,,,,,,,,,,,,,,,0.0
Charlie Woerner TE - SF,Charlie Woerner,TE,SF,@ATL,FA,,,,,,,,,,,,,,,,0.0
Jelani Woods TE - IND IR,Jelani Woods,TE,IND,JAX,FA,,,,,,,2.0,27.0,1.0,,,,,,,0.0
Brock Wright TE - DET,Brock Wright,TE,DET,Bye,W (Oct 4),,,,,,,,,,,,,,,,0.0
Kenny Yeboah TE - NYJ IR,Kenny Yeboah,TE,NYJ,@GB,FA,,,,,,,,,,,,,,,,0.0
Shane Zylstra TE - DET IR,Shane Zylstra,TE,DET,Bye,W (Oct 4),,,,,,,,,,,,,,,,0.0
