Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Rico Dowdle RB - DAL,Rico Dowdle,RB,DAL,Bye,FA,,,,,,,,,,,,,,,,0.0
Kenyan Drake RB - BAL,Kenyan Drake,RB,BAL,@NO,FA,,,,,,,,,,,,,,,,0.0
Travis Dye RB,Travis Dye,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jerrion Ealy RB,Jerrion Ealy,RB,,TEN,FA,,,,,,,,,,,,,,,,0.0
Trestan Ebner RB Q,Trestan Ebner RB,Q,,MIA,FA,,,,,,,,,,,,,,,,0.0
Chase Edmonds RB - TB IR,Chase Edmonds,RB,TB,LA,FA,,,,,,,,,,,,,,,,0.0
Gus Edwards RB - BAL,Gus Edwards,RB,BAL,@NO,FA,,,,,,,,,,,,,,,,0.0
Clyde Edwards-Helaire RB - KC,Clyde,Edwards,Helaire,TEN,FlyRamsFly,,,,,5.0,,1.0,14.0,,,,,,,,0.0
Austin Ekeler RB - LAC D View News,Austin Ekeler,RB,LAC,@ATL,Magic Eulers,,,,,47.0,1.0,7.0,24.0,1.0,,,,,1.0,1.0,0.0
Ezekiel Elliott RB - NE,Ezekiel Elliott,RB,NE,Bye,GLADIATORS of NORSCHT,,,,,,,,,,,,,,,,0.0
Travis Etienne RB - JAX,Travis Etienne,RB,JAX,LV,dirty birds,,,,,109.0,2.0,2.0,17.0,,,,,,,,0.0
Chris Evans RB - CIN,Chris Evans,RB,CIN,CAR,FA,,,,,,,,,,22.0,,,,,,0.0
Tiyon Evans RB,Tiyon Evans,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Zach Evans RB - LA,Zach Evans,RB,LA,Bye,FA,,,,,,,,,,,,,,,,0.0
Demetric Felton RB - CIN,Demetric Felton,RB,CIN,Bye,FA,,,,,,,,,,,,,,,,0.0
Jerome Ford RB - CLE,Jerome Ford,RB,CLE,Bye,Washington Fantasy Team,,,,,,,,,,,,,,,,0.0
D'Onta Foreman RB - CHI,D'Onta Foreman,RB,CHI,MIA,FA,,,,,23.0,,2.0,-2.0,,,,,,,,0.0
Leonard Fournette RB,Leonard Fournette,RB,,LA,FA,,,,,,,,,,,,,,,,0.0
