Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Micah Abernathy DB - ATL,Micah Abernathy,DB,ATL,Bye,FA,,,,,,,,,,,,,,,,,0.0
Johnathan Abram DB - NO,Johnathan Abram,DB,NO,@ATL,FA,9.0,3.0,,,,,,,,,,,,,,,0.0
Jamal Adams DB - SEA,Jamal Adams,DB,SEA,DEN,St Quintin Heidschnucken,3.0,,,,,,,,,,,,,1.0,1.0,,0.0
Tony Adams DB - NYJ O View News,Tony Adams,DB,NYJ,Bye,FA,,,,,,,,,,,,,,,,,0.0
Paulson Adebo DB - NO O View News,Paulson Adebo,DB,NO,@ATL,FA,,,,,,,,,,,,,,,,,0.0
Jaire Alexander DB - GB IA,Jaire Alexander,DB,GB,@MIN,GLADIATORS of NORSCHT,4.0,1.0,,,,,,,,,,,,,,,0.0
Dee Alford DB - ATL,Dee Alford,DB,ATL,NO,Wbn Beasts,2.0,,,,,,,,,,,,,,,,0.0
Ugo Amadi DB - NO,Ugo Amadi,DB,NO,@ATL,FA,4.0,1.0,,,,,,,,,,,,,,,0.0
Adrian Amos DB - NYJ,Adrian Amos,DB,NYJ,@MIN,FA,,,,,,,,,,,,,,,,,0.0
Tycen Anderson DB - CIN,Tycen Anderson,DB,CIN,PIT,FA,,,,,,,,,,,,,,,,,0.0
Zayne Anderson DB - GB IA,Zayne Anderson,DB,GB,@LA,W (Oct 4),,,,,,,,,,,,,,,,,0.0
Troy Apke DB - WAS IR,Troy Apke,DB,WAS,JAX,FA,,,,,,,,,,,,,,,,,0.0
Jalyn Armour-Davis DB - BAL,Jalyn,Armour,Davis,@NYJ,FA,1.0,1.0,,,,,,,,,,,,,,,0.0
Cornell Armstrong DB Q,Cornell Armstrong DB,Q,,NO,FA,,,,,,,,,,,,,,,,,0.0
Grayland Arnold DB - HOU,Grayland Arnold,DB,HOU,Bye,FA,,,,,,,,,,,,,,,,,0.0
Tre Avery DB - TEN,Tre Avery,DB,TEN,Bye,FA,,,,,,,,,,,,,,,,,0.0
Chidobe Awuzie DB - CIN,Chidobe Awuzie,DB,CIN,PIT,FA,6.0,,,,,1.0,,,,,,,,,,,0.0
Budda Baker DB - ARI IR,Budda Baker,DB,ARI,KC,FA,7.0,6.0,,,,,,,,,,,,,,,0.0
Darrell Baker Jr. DB - IND,Darrell Baker Jr.,DB,IND,Bye,FA,,,,,,,,,,,,,,,,,0.0
Corey Ballentine DB - GB,Corey Ballentine,DB,GB,@MIN,W (Oct 4),,,,,,,,,,,,,,,,,0.0
Deonte Banks DB - NYG,Deonte Banks,DB,NYG,Bye,FA,,,,,,,,,,,,,,,,,0.0
Kalon Barnes DB,Kalon Barnes,DB,,GB,FA,,,,,,,,,,,,,,,,,0.0
Essang Bassey DB - DEN,Essang Bassey,DB,DEN,@SEA,FA,,,,,,,,,,,,,,,,,0.0
Jessie Bates DB - ATL,Jessie Bates,DB,ATL,NO,Alta Villa Cardinals,1.0,1.0,,,,,,,,,,,,,,,0.0
Jordan Battle DB - CIN,Jordan Battle,DB,CIN,Bye,FA,,,,,,,,,,,,,,,,,0.0
Markquese Bell DB - DAL,Markquese Bell,DB,DAL,Bye,FA,,,,,,,,,,,,,,,,,0.0
Vonn Bell DB - CAR,Vonn Bell,DB,CAR,CLE,St Quintin Heidschnucken,1.0,1.0,,,,,,,,,,,,1.0,1.0,,0.0
Dane Belton DB - NYG,Dane Belton,DB,NYG,@TEN,FA,,,,,,,,,,,,,,,,,0.0
Christian Benford DB - BUF,Christian Benford,DB,BUF,@LA,FA,1.0,2.0,,,,,,,,,,,,1.0,,,0.0
Jarrick Bernard-Converse DB - NYJ PUP,Jarrick,Bernard,Converse,Bye,FA,,,,,,,,,,,,,,,,,0.0
Justin Bethel DB - MIA,Justin Bethel,DB,MIA,NE,FA,1.0,,,,,,,,,,,,,,,,0.0
Henry Black DB - IND,Henry Black,DB,IND,@HOU,FA,,,,,,,,,,,,,,,,,0.0
Julian Blackmon DB - IND,Julian Blackmon,DB,IND,@HOU,FA,1.0,,,,,,,,,,,,,,,,0.0
Josh Blackwell DB - CHI IR View News,Josh Blackwell,DB,CHI,SF,FA,,,,,,,,,,,,,,,,,0.0
DaRon Bland DB - DAL,DaRon Bland,DB,DAL,TB,FA,,,,,,,,,,,,,,,,,0.0
Reed Blankenship DB - PHI,Reed Blankenship,DB,PHI,@DET,Alta Villa Cardinals,,,,,,,,,,,,,,,,,0.0
Joshuah Bledsoe DB - NE,Joshuah Bledsoe,DB,NE,@MIA,FA,,,,,,,,,,,,,,,,,0.0
