Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Holton Ahlers QB,Holton Ahlers,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Brandon Allen QB - SF,Brandon Allen,QB,SF,@DAL,FA,,,,,,,,,,,,,,,,0.0
Josh Allen QB - BUF,Josh Allen,QB,BUF,TEN,FlyRamsFly,26.0,317.0,4.0,,10.0,,,,,,,,,,,0.0
Kyle Allen QB - BUF,Kyle Allen,QB,BUF,TEN,FA,,,,,,,,,,,,,,,,0.0
Tyson Bagent QB - CHI,Tyson Bagent,QB,CHI,Bye,FA,,,,,,,,,,,,,,,,0.0
Matt Barkley QB Q,Matt Barkley QB,Q,,TEN,FA,,,,,,,,,,,,,,,,0.0
C.J. Beathard QB - JAX,C.J. Beathard,QB,JAX,IND,FA,,,,,,,,,,,,,,,,0.0
Stetson Bennett QB - LA NFI-R,Stetson Bennett,QB,LA,Bye,FA,,,,,,,,,,,,,,,,0.0
James Blackman QB,James Blackman,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
David Blough QB - DET,David Blough,QB,DET,@LV,W (Oct 4),,,,,,,,,,,,,,,,0.0
Ian Book QB,Ian Book,QB,,MIN,FA,,,,,,,,,,,,,,,,0.0
Tim Boyle QB - NYJ,Tim Boyle,QB,NYJ,@CLE,FA,,,,,,,,,,,,,,,,0.0
Teddy Bridgewater QB - DET,Teddy Bridgewater,QB,DET,@BAL,W (Oct 4),,,,,,,,,,,,,,,,0.0
Jacoby Brissett QB - WAS,Jacoby Brissett,QB,WAS,@DET,FA,22.0,229.0,1.0,1.0,43.0,,,,,,,,,,,0.0
Anthony Brown QB,Anthony Brown,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jake Browning QB - CIN,Jake Browning,QB,CIN,@DAL,FA,,,,,,,,,,,,,,,,0.0
Shane Buechele QB - BUF,Shane Buechele,QB,BUF,LAC,FA,,,,,,,,,,,,,,,,0.0
Joe Burrow QB - CIN View News,Joe Burrow,QB,CIN,@DAL,Magic Eulers,24.0,199.0,1.0,,26.0,,,,,,,,1.0,,1.0,0.0
Derek Carr QB - NO Q View News,Derek Carr,QB,NO,TB,FA,25.0,252.0,2.0,,9.0,,,,,,,,,,,0.0
Sean Clifford QB - GB,Sean Clifford,QB,GB,Bye,W (Oct 4),,,,,,,,,,,,,,,,0.0
Matt Corral QB,Matt Corral,QB,,@NYG,FA,,,,,,,,,,,,,,,,0.0
Kirk Cousins QB - MIN,Kirk Cousins,QB,MIN,@PHI,FlyRamsFly,27.0,221.0,1.0,3.0,20.0,,,,,,,,,,1.0,0.0
Malik Cunningham QB - NE,Malik Cunningham,QB,NE,Bye,FA,,,,,,,,,,,,,,,,0.0
Andy Dalton QB - CAR,Andy Dalton,QB,CAR,@NYG,FA,,,,,,,,,,,,,,,,0.0
Sam Darnold QB - SF,Sam Darnold,QB,SF,SEA,FA,,,,,,,,,,,,,,,,0.0
Tommy DeVito QB - NYG,Tommy DeVito,QB,NYG,Bye,FA,,,,,,,,,,,,,,,,0.0
Ben DiNucci QB - DEN,Ben DiNucci,QB,DEN,Bye,FA,,,,,,,,,,,,,,,,0.0
Joshua Dobbs QB - ARI,Joshua Dobbs,QB,ARI,NYJ,FA,,,,,,,,,,,,,,,,0.0
Jeff Driskel QB - ARI,Jeff Driskel,QB,ARI,@DEN,FA,,,,,,,,,,,,,,,,0.0
Max Duggan QB - LAC,Max Duggan,QB,LAC,Bye,FA,,,,,,,,,,,,,,,,0.0
Jacob Eason QB,Jacob Eason,QB,,@NYG,FA,,,,,,,,,,,,,,,,0.0
Sam Ehlinger QB - IND Q View News,Sam Ehlinger,QB,IND,@JAX,FA,,,,,,,,,,,,,,,,0.0
Danny Etling QB,Danny Etling,QB,,CHI,FA,,,,,,,,,,,,,,,,0.0
Justin Fields QB - CHI,Justin Fields,QB,CHI,@GB,Wbn Beasts,7.0,70.0,,1.0,20.0,1.0,,,,,,,,,1.0,0.0
Nick Foles QB,Nick Foles,QB,,@JAX,FA,,,,,,,,,,,,,,,,0.0
Jake Fromm QB - WAS,Jake Fromm,QB,WAS,@DET,FA,,,,,,,,,,,,,,,,0.0
Blaine Gabbert QB - KC,Blaine Gabbert,QB,KC,LAC,FA,,,,,,,,,,,,,,,,0.0
Chase Garbers QB,Chase Garbers,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jimmy Garoppolo QB - LV Q View News,Jimmy Garoppolo,QB,LV,ARI,FA,13.0,154.0,1.0,,5.0,1.0,,,,,,,,,,0.0
Jared Goff QB - DET,Jared Goff,QB,DET,WAS,Wbn Beasts,20.0,256.0,4.0,,-2.0,,,,,,,,,,,0.0
Will Grier QB - NE,Will Grier,QB,NE,CIN,FA,,,,,,,,,,,,,,,,0.0
Jarrett Guarantano QB,Jarrett Guarantano,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jake Haener QB - NO SUS,Jake Haener,QB,NO,Bye,FA,,,,,,,,,,,,,,,,0.0
Jaren Hall QB - MIN Q View News,Jaren Hall,QB,MIN,Bye,FA,,,,,,,,,,,,,,,,0.0
Taylor Heinicke QB - ATL,Taylor Heinicke,QB,ATL,@LA,FA,,,,,,,,,,,,,,,,0.0
Justin Herbert QB - LAC,Justin Herbert,QB,LAC,@KC,Bad Wildcats Hunschat,33.0,334.0,3.0,1.0,1.0,,,,,,,,,,,0.0
