Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Nate Adkins TE - DEN,Nate Adkins,TE,DEN,Bye,FA,,,,,,,,,,,,,,,,0.0
Jordan Akins TE - CLE,Jordan Akins,TE,CLE,@HOU,FA,,,,,,,3.0,21.0,,,,,,,,0.0
Mo Alie-Cox TE - IND,Mo,Alie,Cox,@DAL,FA,,,,,,,1.0,6.0,,,,,,1.0,1.0,0.0
Austin Allen TE,Austin Allen,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Chase Allen TE Q,Chase Allen TE,Q,,GB,FA,,,,,,,,,,,,,,,,0.0
Davis Allen TE - LA,Davis Allen,TE,LA,Bye,FA,,,,,,,,,,,,,,,,0.0
Mark Andrews TE - BAL,Mark Andrews,TE,BAL,DEN,Slay,,,,,1.0,,4.0,53.0,,,,,,,,0.0
J.J. Arcega-Whiteside TE,J.J.,Arcega,Whiteside,Bye,FA,,,,,,,,,,,,,,,,0.0
Dan Arnold TE,Dan Arnold,TE,,@DET,FA,,,,,,,,,,,,,,,,0.0
Devin Asiasi TE - CLE,Devin Asiasi,TE,CLE,KC,FA,,,,,,,,,,,,,,,,0.0
John Bates TE - WAS,John Bates,TE,WAS,@NYG,FA,,,,,,,,,,,,,,,,0.0
Andrew Beck TE - HOU,Andrew Beck,TE,HOU,CLE,FA,,,,,,,,,,,,,,,,0.0
Blake Bell TE - KC,Blake Bell,TE,KC,@CIN,FA,,,,,,,,,,,,,,,,0.0
Daniel Bellinger TE - NYG Q View News,Daniel Bellinger,TE,NYG,WAS,FA,,,,,,,5.0,24.0,,,,,,,,0.0
Kendall Blanton TE,Kendall Blanton,TE,,@CIN,FA,,,,,,,,,,,,,,,,0.0
Nick Bowers TE - MIA,Nick Bowers,TE,MIA,KC,FA,,,,,,,,,,,,,,,,0.0
Pharaoh Brown TE - NE,Pharaoh Brown,TE,NE,@DAL,FA,,,,,,,1.0,11.0,,,,,,,,0.0
Harrison Bryant TE - CLE,Harrison Bryant,TE,CLE,@HOU,FA,,,,,8.0,,1.0,6.0,,,,,,,,0.0
Matt Bushman TE - KC,Matt Bushman,TE,KC,@CIN,FA,,,,,,,,,,,,,,,,0.0
Lawrence Cager TE - NYG,Lawrence Cager,TE,NYG,WAS,FA,,,,,,,,,,,,,,,,0.0
Grant Calcaterra TE - PHI,Grant Calcaterra,TE,PHI,TEN,FA,,,,,,,1.0,19.0,,,,,,,,0.0
Stephen Carlson TE - CHI,Stephen Carlson,TE,CHI,Bye,FA,,,,,,,,,,,,,,,,0.0
Tyler Conklin TE - NYJ,Tyler Conklin,TE,NYJ,@MIN,FA,,,,,,,2.0,9.0,,,,,,,,0.0
Tanner Conner TE - MIA,Tanner Conner,TE,MIA,Bye,FA,,,,,,,,,,,,,,,,0.0
Dominique Dafney TE Q,Dominique Dafney TE,Q,,NO,FA,,,,,,,,,,,,,,,,0.0
Tyler Davis TE - GB IR,Tyler Davis,TE,GB,@CHI,W (Oct 4),,,,,,,,,,,,,,,,0.0
Derrick Deese Jr. TE,Derrick Deese Jr.,TE,,Bye,FA,,,,,,,,,,,,,,,,0.0
Josiah Deguara TE - GB,Josiah Deguara,TE,GB,@CHI,W (Oct 4),,,,,,,,,,,,,,,,0.0
Brandon Dillon TE - WAS IR,Brandon Dillon,TE,WAS,Bye,FA,,,,,,,,,,,,,,,,0.0
Will Dissly TE - SEA Q View News,Will Dissly,TE,SEA,@LA,FA,,,,,,,2.0,22.0,,,,,,,,0.0
Greg Dulcich TE - DEN IR,Greg Dulcich,TE,DEN,@BAL,FA,,,,,,,6.0,85.0,,,,,,,,0.0
Payne Durham TE - TB,Payne Durham,TE,TB,Bye,FA,,,,,,,,,,,,,,,,0.0
Ross Dwelley TE - SF,Ross Dwelley,TE,SF,MIA,FA,,,,,,,,,,,,,,,,0.0
Ben Ellefson TE,Ben Ellefson,TE,,NYJ,FA,,,,,,,,,,,,,,,,0.0
Evan Engram TE - JAX,Evan Engram,TE,JAX,@DET,Washington Fantasy Team,,,,,,,5.0,30.0,1.0,,,,,,,0.0
Zach Ertz TE - ARI,Zach Ertz,TE,ARI,Bye,Bad Wildcats Hunschat,,,,,,,,,,,,,,,,0.0
Gerald Everett TE - LAC View News,Gerald Everett,TE,LAC,@LV,FA,,,,,,,5.0,80.0,,,,,,,,0.0
