Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Davante Adams WR - LV,Davante Adams,WR,LV,@JAX,GLADIATORS of NORSCHT,,,,,,,10.0,146.0,2.0,,,,,,,0.0
Jordan Addison WR - MIN,Jordan Addison,WR,MIN,Bye,Slay,,,,,,,,,,,,,,,,0.0
Nelson Agholor WR - BAL View News,Nelson Agholor,WR,BAL,@NO,FA,,,,,,,,,,,,,,,,0.0
Jamal Agnew WR - JAX Q,Jamal Agnew,WR,JAX,LV,FA,,,,,,,,,,78.0,,,,,,0.0
Brandon Aiyuk WR - SF View News,Brandon Aiyuk,WR,SF,Bye,St Quintin Heidschnucken,,,,,,,,,,,,,,,,0.0
Maurice Alexander WR - DET,Maurice Alexander,WR,DET,Bye,W (Oct 4),,,,,,,,,,,,,,,,0.0
Josh Ali WR - ATL O View News,Josh Ali,WR,ATL,Bye,FA,,,,,,,,,,,,,,,,0.0
Devon Allen WR - PHI,Devon Allen,WR,PHI,@HOU,FA,,,,,,,,,,,,,,,,0.0
Kazmeir Allen WR - WAS,Kazmeir Allen,WR,WAS,Bye,FA,,,,,,,,,,,,,,,,0.0
Keenan Allen WR - LAC,Keenan Allen,WR,LAC,@ATL,FlyRamsFly,,,,,,,,,,,,,,,,0.0
Daniel Arias WR - KC,Daniel Arias,WR,KC,Bye,FA,,,,,,,,,,,,,,,,0.0
Marcell Ateman WR - BUF,Marcell Ateman,WR,BUF,Bye,FA,,,,,,,,,,,,,,,,0.0
Tutu Atwell WR - LA,Tutu Atwell,WR,LA,@TB,Magic Eulers,,,,,,,,,,,,,,,,0.0
Calvin Austin III WR - PIT,Calvin Austin III,WR,PIT,Bye,FA,,,,,,,,,,,,,,,,0.0
Kevin Austin Jr. WR,Kevin Austin Jr.,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Andre Baccellia WR - ARI,Andre Baccellia,WR,ARI,SEA,FA,,,,,,,,,,,,,,,,0.0
Alex Bachman WR Q,Alex Bachman WR,Q,,PHI,FA,,,,,,,,,,,,,,,,0.0
Kawaan Baker WR,Kawaan Baker,WR,,BAL,FA,,,,,,,,,,,,,,,,0.0
Daylen Baldwin WR Q,Daylen Baldwin WR,Q,,Bye,FA,,,,,,,,,,,,,,,,0.0
Taye Barber WR,Taye Barber,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jose Barbon WR,Jose Barbon,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Rashod Bateman WR - BAL O View News,Rashod Bateman,WR,BAL,@NO,FA,,,,,,,,,,,,,,,,0.0
Cole Beasley WR - NYG O,Cole Beasley,WR,NYG,@NYJ,FA,,,,,,,,,,,,,,,,0.0
Odell Beckham Jr. WR - BAL O View News,Odell Beckham Jr.,WR,BAL,@NO,FA,,,,,,,,,,,,,,,,0.0
David Bell WR - CLE,David Bell,WR,CLE,Bye,FA,,,,,,,,,,,,,,,,0.0
Trinity Benson WR,Trinity Benson,WR,,GB,FA,,,,,,,,,,,,,,,,0.0
Jared Bernhardt WR,Jared Bernhardt,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
