Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Israel Abanikanda RB - NYJ,Israel Abanikanda,RB,NYJ,Bye,FA,,,,,,,,,,,,,,,,0.0
Ameer Abdullah RB - LV,Ameer Abdullah,RB,LV,SF,FA,,,,,,,,,,,,,,,,0.0
De'Von Achane RB - MIA,De'Von Achane,RB,MIA,Bye,Boppard Raiders,,,,,,,,,,,,,,,,0.0
Salvon Ahmed RB - MIA Q View News,Salvon Ahmed,RB,MIA,@NE,FA,,,,,,,1.0,8.0,,,,,,,,0.0
Cam Akers RB - MIN,Cam Akers,RB,MIN,@LAC,FA,,,,,123.0,,1.0,10.0,,,,,,,,0.0
Tyler Allgeier RB - ATL,Tyler Allgeier,RB,ATL,ARI,FlyRamsFly,,,,,83.0,1.0,1.0,12.0,,,,,,,,0.0
Darius Anderson RB Q,Darius Anderson RB,Q,,JAX,FA,,,,,,,,,,,,,,,,0.0
Alex Armah RB - WAS,Alex Armah,RB,WAS,CLE,FA,,,,,,,,,,,,,,,,0.0
Ronald Awatt RB,Ronald Awatt,RB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Tyler Badie RB - DEN,Tyler Badie,RB,DEN,@KC,FA,,,,,,,,,,,,,,,,0.0
Saquon Barkley RB - NYG Q View News,Saquon Barkley,RB,NYG,IND,Washington Fantasy Team,,,,,58.0,,2.0,-5.0,,,,,,,,0.0
Nick Bawden RB - NYJ,Nick Bawden,RB,NYJ,@SEA,FA,,,,,,,,,,,,,,,,0.0
B.J. Baylor RB,B.J. Baylor,RB,,ARI,FA,,,,,,,,,,,,,,,,0.0
Greg Bell RB - PIT,Greg Bell,RB,PIT,Bye,FA,,,,,,,,,,,,,,,,0.0
Nick Bellore RB - SEA,Nick Bellore,RB,SEA,NYJ,FA,,,,,,,,,,,,,,,,0.0
Eno Benjamin RB - NO IR,Eno Benjamin,RB,NO,@PHI,FA,,,,,10.0,,1.0,9.0,,,,,,,,0.0
Tank Bigsby RB - JAX,Tank Bigsby,RB,JAX,Bye,FA,,,,,,,,,,,,,,,,0.0
Raheem Blackshear RB - CAR,Raheem Blackshear,RB,CAR,@TB,FA,,,,,,,1.0,-1.0,,36.0,,,,,,0.0
Khari Blasingame RB - CHI,Khari Blasingame,RB,CHI,@DET,FA,,,,,,,,,,,,,,,,0.0
Brandon Bolden RB - LV,Brandon Bolden,RB,LV,SF,FA,,,,,32.0,,,,,,,,,,,0.0
